"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Bell 2019",2019,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,12,0,11,18.08,12.65,31.18,13.53,0,0,-0.965592,-1.839264,-0.091921,0,4.552207,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bomyea 2015",2015,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,22,0,20,45.32,19.92,58.5,18.61,0,0,-0.66971,-1.293665,-0.045756,0,5.126934,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Brady 2021",2021,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,12,0,7,24.5,13.83,58.57,6.29,0,0,-2.773124,-4.133161,-1.413087,0,3.433964,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Gray 2020",2020,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,15,0,14,9.7,6.3,38.6,3.5,0,0,-5.458881,-7.136518,-3.781243,0,2.819008,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rajan 2020",2020,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,19,0,17,24.7,16.4,55.1,15.5,0,0,-1.859779,-2.656878,-1.06268,0,4.733736,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 1997",1997,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,9,0,8,14.3,8.4,35,5.9,0,0,-2.676739,-4.077008,-1.276469,0,3.349846,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Walsh 2017",2017,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,43,0,24,29.07,11.48,24.49,11.63,0,0,0.392511,-0.111562,0.896584,0,5.372185,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Creech 2021",2021,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,64,0,67,43.58,18.54,35.81,20.82,0,0,0.391335,0.045397,0.737273,0,5.640374,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2015",2015,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,31,0,38,37.48,12.06,39.14,8.54,0,0,-0.159875,-0.635021,0.315271,0,5.426559,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sikkema 2018",2018,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,19,0,26,25.79,5.4,23.04,3.6,0,0,0.608075,0.002082,1.214067,0,5.165459,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Walsh 2017",2017,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,52,0,25,26.98,10.42,24.49,11.63,0,0,0.22778,-0.250652,0.706211,0,5.420491,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bass 2016",2016,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,159,0,142,1.39,0.74,1.49,0.76,0,0,-0.133088,-0.359643,0.093467,0,16.920338,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Creech 2021",2021,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,66,0,69,41.39,18.07,37.52,20.64,0,0,0.198087,-0.140221,0.536395,0,15.110743,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,21,0,19,15.62,12.98,15,10.76,0,0,0.050726,-0.569956,0.671407,0,10.358452,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,20,0,21,7.9,6.3,6.8,5.7,0,0,0.179791,-0.433948,0.793529,0,10.462598,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2015",2015,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,32,0,40,31.16,12.68,35.67,10.92,0,0,-0.380284,-0.849499,0.088932,0,12.815513,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sikkema 2018",2018,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,28,0,23,22.5,3.47,28.61,5.04,0,0,-1.416428,-2.037798,-0.795059,0,10.348188,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Walsh 2017",2017,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,42,0,21,23.33,13.03,21.7,12.56,0,0,0.125012,-0.399295,0.649319,0,11.881095,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Walsh 2017",2017,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, 3 months",2,0,45,0,22,23.98,11.09,21.7,12.56,0,0,0.194521,-0.316488,0.70553,0,12.103074,"2::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Falsetti 2008",2008,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,22,0,31,18.5,12.52,21.23,12.47,0,0,-0.215334,-0.763372,0.332703,0,6.748927,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,23,0,5,5.75,4.77,22.1,14.97,0,0,-2.165579,-3.309999,-1.021159,0,4.280652,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,19,0,4,10.05,8.06,22.1,14.97,0,0,-1.240239,-2.388087,-0.092391,0,4.268499,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,21,0,5,10.49,9.9,22.1,14.97,0,0,-1.030569,-2.052181,-0.008957,0,4.737249,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2005",2005,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,79,0,11,14.6,13.8,21,10.7,0,0,-0.470591,-1.105251,0.164068,0,6.375785,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2005",2005,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,72,0,11,13.8,12.9,21,10.7,0,0,-0.563923,-1.204472,0.076626,0,6.350045,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,21,0,20,8.37,9.31,7.5,7.19,0,0,0.10224,-0.510575,0.715054,0,6.470953,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,18,0,24,14.7,9.6,13.2,7.5,0,0,0.174032,-0.438343,0.786408,0,6.472859,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2002",2002,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,61,0,24,12.73,11.17,22.62,8.59,0,0,-0.931714,-1.425278,-0.438151,0,6.975015,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2002",2002,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,61,0,23,16,11.06,22.62,8.59,0,0,-0.627396,-1.11672,-0.138071,0,6.992217,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 2005",2005,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,20,0,20,4.65,4.99,22.2,10.55,0,0,-2.084415,-2.868998,-1.299832,0,5.71905,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Abrahams 2010",2010,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,67,0,73,31,14.1,30.8,13.9,0,0,0.014212,-0.317391,0.345815,0,7.572521,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bowland 2012",2012,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,21,0,22,8.86,4.81,14.5,8.69,0,0,-0.783212,-1.405869,-0.160554,0,6.428133,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bomyea 2015",2015,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,22,0,20,20.36,14.76,25.05,12.91,0,0,-0.330759,-0.940846,0.279327,0,6.482797,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Brady 2021",2021,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,13,0,10,7.66,4.41,20.85,3.23,0,0,-3.220409,-4.533711,-1.907108,0,3.72103,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 1997",1997,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,10,0,8,7.3,5.5,30.4,15.7,0,0,-1.968882,-3.149515,-0.788249,0,4.153923,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rothbaum 2005",2005,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, post-treatment",3,0,20,0,20,10.7,11.45,22.2,10.55,0,0,-1.023828,-1.687137,-0.360518,0,6.250345,"3::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bass 2016",2016,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, 3 months",4,0,159,0,142,1.29,0.7,1.45,0.71,0,0,-0.226466,-0.4535,0.000567,0,58.473251,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, 3 months",4,0,19,0,19,8.47,10.09,8.34,7.93,0,0,0.014025,-0.62188,0.64993,0,21.169412,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 2: Depressive symptoms, 3 months",4,0,20,0,17,14.4,10.7,10.8,7.2,0,0,0.380151,-0.27287,1.033173,0,20.357338,"4::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bell 2019",2019,"Psychosocial interventions versus inactive control; outcome 3: Dropout from treatment",5,0,12,4,15,0,0,0,0,0,0,0.136752,0.008081,2.31409,0,3.190347,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Bomyea 2015",2015,"Psychosocial interventions versus inactive control; outcome 3: Dropout from treatment",5,7,22,10,20,0,0,0,0,0,0,0.636364,0.299849,1.35054,0,26.597896,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brady 2021",2021,"Psychosocial interventions versus inactive control; outcome 3: Dropout from treatment",5,2,15,3,10,0,0,0,0,0,0,0.444444,0.089705,2.202017,0,8.960034,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 3: Dropout from treatment",5,9,31,10,30,0,0,0,0,0,0,0.870968,0.412376,1.839545,0,26.789115,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 3: Dropout from treatment",5,20,46,12,41,0,0,0,0,0,0,1.485507,0.832745,2.649948,0,34.462607,"5::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Abrahams 2010",2010,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,0,136,0,138,0,0,0,0,0,0,NA,NA,NA,0,NA,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Brady 2021",2021,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,0,15,1,10,0,0,0,0,0,0,0.229167,0.01025,5.123693,0,27.14708,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Gray 2020",2020,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,0,15,0,15,0,0,0,0,0,0,NA,NA,NA,0,NA,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Krakow 2001",2001,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,4,88,0,80,0,0,0,0,0,0,8.191011,0.447911,149.790169,0,29.969149,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,3,46,1,41,0,0,0,0,0,0,2.673913,0.289345,24.710304,0,42.883771,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Rajan 2020",2020,"Psychosocial interventions versus inactive control; outcome 4: Adverse events",6,0,21,0,17,0,0,0,0,0,0,NA,NA,NA,0,NA,"6::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Bell 2019",2019,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,12,0,11,9.83,6.52,18.18,8.9,0,0,-1.039135,-1.921269,-0.157001,0,7.45222,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bomyea 2015",2015,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,22,0,20,52.05,13.36,53.93,13.69,0,0,-0.136452,-0.742773,0.469868,0,9.046963,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bowland 2012",2012,"Psychosocial interventions versus inactive control; outcome 5: Anxiety symptoms, post-treatment",7,0,21,0,22,11.24,4.86,18.91,12.36,0,0,-0.794627,-1.417995,-0.171258,0,8.949169,"7::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
