"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","mismatch_type","k_rows","k_valid","invalid_rows","double_zero_rows","all_events_rows","sparse_rows","any_zero_rows","event_rate","log_or","rd","or_sig","rd_sig","direction_match"
"CD001920_pub4_data","5::overall",5,"","Length of stay","significance_only",142,141,1,136,0,137,138,0.0144,-0.2182593643719,-0.0390783847551098,FALSE,TRUE,TRUE
"CD001920_pub4_data","6::overall",6,"","Adverse events","significance_only",168,168,0,157,0,163,162,0.0064,0.14414738056305,0.0191211683220091,FALSE,TRUE,TRUE
"CD002042_pub6_data","2::8",2,"8","Participants exposed to blood transfusion by clinical specialties","significance_only",5,5,0,0,2,0,0,0.8132,-1.23829451758935,-0.153005548634281,TRUE,FALSE,TRUE
"CD002042_pub6_data","6::overall",6,"","30-day mortality","direction_only",44,44,0,7,0,20,11,0.0836,0.0181395361852598,-0.0012885343373158,FALSE,FALSE,FALSE
"CD002042_pub6_data","8::1",8,"1","30-day mortality: subgroup by clinical specialties (random-effects model)","direction_only",5,5,0,1,0,2,1,0.0291,0.00193620178726427,-0.00183043165969036,FALSE,FALSE,FALSE
"CD002042_pub6_data","9::1",9,"1","30-day mortality: subgroup by clinical specialties (fixed-effect model)","direction_only",5,5,0,1,0,2,1,0.0291,0.00193620178726427,-0.00183043165969036,FALSE,FALSE,FALSE
"CD002042_pub6_data","13::overall",13,"","In-hospital mortality (as defined by triallists)","significance_only",19,19,0,3,0,6,6,0.1159,-0.142062167446524,-0.0110385014199588,FALSE,TRUE,TRUE
"CD002042_pub6_data","19::overall",19,"","Morbidity: cerebrovascular accident (CVA) - stroke","direction_only",29,29,0,2,0,16,11,0.0325,0.102421574981109,-0.0021695806743043,FALSE,FALSE,FALSE
"CD002042_pub6_data","31::overall",31,"","Morbidity: renal failure requiring dialysis/replacement therapy","direction_only",9,9,0,3,0,4,4,0.0509,0.0567319694286414,-0.00309815050326758,FALSE,FALSE,FALSE
"CD002042_pub6_data","32::overall",32,"","Morbidity: delirium","significance_only",10,10,0,0,0,1,1,0.11,0.186229592896295,0.0101494747568422,TRUE,FALSE,TRUE
"CD002042_pub6_data","11::overall",11,"","6-month mortality","direction_only",2,2,0,0,0,1,1,0.0528,0.272087163394509,-0.0530739469391002,FALSE,FALSE,FALSE
"CD002042_pub6_data","15::overall",15,"","Morbidity: cerebrovascular accident (CVA)","direction_only",2,2,0,0,0,2,2,0.0025,-0.0162237138279312,5.80558234322239e-05,FALSE,FALSE,FALSE
"CD002052_pub4_data","3::overall",3,"","All-cause mortality until hospital discharge","direction_only",6,6,0,0,0,2,1,0.46,-0.0132990438117402,0.00533895824849834,FALSE,FALSE,FALSE
"CD002112_pub2_data","2::4",2,"4","Number of children achieving 14 consecutive dry nights by the end of treatment","significance_only",8,8,0,0,0,2,2,0.2061,0.548787418643163,0.0750577646446802,FALSE,TRUE,TRUE
"CD002112_pub2_data","2::5",2,"5","Number of children achieving 14 consecutive dry nights by the end of treatment","direction_only",4,4,0,0,0,0,0,0.3514,-0.012158078447545,0.00794967542453284,FALSE,FALSE,FALSE
"CD002112_pub2_data","4::1",4,"1","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)","significance_only",12,12,0,1,0,1,2,0.3209,0.415059973430352,0.0913183354976259,FALSE,TRUE,TRUE
"CD002112_pub2_data","2::6",2,"6","Number of children achieving 14 consecutive dry nights by the end of treatment","direction_only",4,4,0,0,0,1,0,0.4203,0.0111645307531015,-0.00645595590712058,FALSE,FALSE,FALSE
"CD002112_pub2_data","4::3",4,"3","Number of children relapsing after cessation of treatment","direction_only",5,5,0,0,0,1,1,0.4066,0.0818321895474927,-0.0198683698688733,FALSE,FALSE,FALSE
"CD002112_pub2_data","3::overall",3,"","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)","significance_only",6,6,0,0,0,0,0,0.3474,-0.595262401127139,-0.121984821774187,TRUE,FALSE,TRUE
"CD002122_pub3_data","1::3",1,"3","Pain (visual analogue scale)&nbsp;","significance_only",12,4,8,0,0,1,0,0.8149,-0.610111387508791,-0.0544526947858061,FALSE,TRUE,TRUE
"CD002122_pub3_data","2::5",2,"5","Pain (4-point verbal rating scale)","direction_only",7,6,1,0,0,1,0,0.1237,0.029357410393524,-0.000121551167099589,FALSE,FALSE,FALSE
"CD002122_pub3_data","3::1",3,"1","Pain (dichotomous)","direction_only",9,6,3,0,0,1,0,0.4886,-0.015417609003498,0.0198075505275724,FALSE,FALSE,FALSE
"CD002122_pub3_data","3::2",3,"2","Pain (dichotomous)","direction_only",8,6,2,0,0,1,1,0.3439,0.0271236144041638,-0.0267778726388821,FALSE,FALSE,FALSE
"CD002122_pub3_data","6::1",6,"1","Quality of life","direction_only",4,3,1,0,0,0,0,0.38,0.113075671418011,-0.00195832337796727,FALSE,FALSE,FALSE
"CD002122_pub3_data","7::4",7,"4","Adverse effects","significance_only",3,3,0,0,0,0,1,0.0831,2.31853536430414,0.242336193302231,TRUE,FALSE,TRUE
"CD002122_pub3_data","7::7",7,"7","Adverse effects","direction_only",3,3,0,0,0,1,3,0.0505,-0.219304693653294,0.0676407757235387,FALSE,FALSE,FALSE
"CD002122_pub3_data","7::8",7,"8","Adverse effects","direction_only",3,3,0,0,0,1,0,0.1585,-0.101157303167494,0.00772346607950437,FALSE,FALSE,FALSE
"CD002122_pub3_data","7::16",7,"16","Adverse effects","direction_only",3,3,0,0,0,3,1,0.0317,0.208390908305619,-0.00582632791533018,FALSE,FALSE,FALSE
"CD002122_pub3_data","3::9",3,"9","Adverse effects","direction_only",2,2,0,0,0,1,0,0.2308,-0.0408224964287936,0.0219085806942628,FALSE,FALSE,FALSE
"CD002122_pub3_data","6::5",6,"5","Adverse effects","significance_only",2,2,0,0,0,1,1,0.1507,-1.28504160280719,-0.125401728198048,TRUE,FALSE,TRUE
"CD002122_pub3_data","6::10",6,"10","Adverse effects","significance_only",3,3,0,0,0,0,0,0.187,-1.07379142921547,-0.106427021119375,TRUE,FALSE,TRUE
"CD002122_pub3_data","6::11",6,"11","Adverse effects","significance_only",3,3,0,0,0,2,2,0.1261,-1.87551324684182,-0.151268731614405,TRUE,FALSE,TRUE
"CD002122_pub3_data","2::8",2,"8","Adverse effects","significance_only",4,4,0,0,0,1,0,0.1146,-0.814118000525845,-0.0804970427426799,FALSE,TRUE,TRUE
"CD002203_pub5_data","13::overall",13,"","Acquisition of meticillin-resistant Staphylococcus aureus (MRSA)","direction_only",5,5,0,0,0,1,1,0.0609,0.0181766531826301,-0.00526263172315449,FALSE,FALSE,FALSE
"CD002203_pub5_data","14::overall",14,"","Acquisition of Haemophilus influenzae","direction_only",4,4,0,0,0,0,0,0.1047,-0.0320884736269821,0.00196589473012878,FALSE,FALSE,FALSE
"CD002243_pub5_data","7::2",7,"2","28-day all-cause mortality by subgroups based on age","direction_only",5,5,0,1,0,3,2,0.1007,0.0594115393912813,-0.0253460158285403,FALSE,FALSE,FALSE
"CD002243_pub5_data","21::2",21,"2","Number of participants with adverse events","direction_only",36,36,0,3,0,10,10,0.1808,-0.047586720082244,0.000353130277469786,FALSE,FALSE,FALSE
"CD003129_pub2_data","7::overall",7,"","Withdrawals due to adverse events","significance_only",5,5,0,0,0,5,4,0.0223,0.772829936968409,0.0273570614659632,FALSE,TRUE,TRUE
"CD003331_pub6_data","4::overall",4,"","Hospital admissions (all-cause) more than 12 months' follow-up","significance_only",8,8,0,0,0,0,0,0.5936,-0.487857614263124,-0.0989987525236258,FALSE,TRUE,TRUE
"CD003333_pub4_data","2::overall",2,"","Non-fatal cardiovascular events (non-fatal stroke, myocardial infarction, pulmonary embolism, peripheral arterial embolism)","significance_only",5,5,0,0,0,0,0,0.069,-0.232070922382987,-0.0134553659407466,TRUE,FALSE,TRUE
"CD003357_pub5_data","5::overall",5,"","Miscarriage rate per woman","direction_only",3,3,0,0,0,1,0,0.1068,0.140000336412752,-0.0135118207440238,FALSE,FALSE,FALSE
"CD003376_pub4_data","1::overall",1,"","Clinical vertebral fractures","direction_only",98,98,0,43,0,77,63,0.0471,-0.0979532814479582,0.00518956749416327,FALSE,FALSE,FALSE
"CD003376_pub4_data","2::overall",2,"","Non-vertebral fractures","direction_only",70,70,0,18,0,33,26,0.0868,-0.031418176542453,9.18372969363503e-05,FALSE,FALSE,FALSE
"CD003376_pub4_data","7::overall",7,"","Serious adverse events","direction_only",8,8,0,3,0,5,3,0.0604,-0.10961174207013,0.00215247660905914,FALSE,FALSE,FALSE
"CD003414_pub4_data","1::1",1,"1","Live birth rate per woman","direction_only",8,8,0,0,0,0,0,0.2408,0.0529187781404367,-0.000983367732137148,FALSE,FALSE,FALSE
"CD003414_pub4_data","2::1",2,"1","Miscarriage rate per woman","significance_only",14,14,0,0,0,3,3,0.0549,-0.179236006968994,-0.0168565838872494,FALSE,TRUE,TRUE
"CD003414_pub4_data","2::3",2,"3","Miscarriage rate per woman","significance_only",5,5,0,0,0,3,3,0.0436,-0.180486080810075,-0.0234109961860165,FALSE,TRUE,TRUE
"CD003414_pub4_data","6::1",6,"1","Multiple pregnancy rate per woman","direction_only",7,7,0,0,0,3,2,0.1233,-0.0664681693954065,0.00509539667654767,FALSE,FALSE,FALSE
"CD003414_pub4_data","6::2",6,"2","Multiple pregnancy rate per woman","direction_only",4,4,0,0,0,1,1,0.0993,0.0640998192380396,-0.00891276676038844,FALSE,FALSE,FALSE
"CD003414_pub4_data","6::3",6,"3","Multiple pregnancy rate per woman","direction_only",3,3,0,0,0,1,0,0.0966,0.00511885862637505,-0.0127148276599632,FALSE,FALSE,FALSE
"CD003429_pub5_data","2::overall",2,"","Joint function protection (number of participants with no joint damage)","significance_only",2,2,0,0,0,0,0,0.7263,1.90872127253687,0.278577320015379,TRUE,FALSE,TRUE
"CD003429_pub5_data","3::overall",3,"","Sensitivity analysis (fixed-effect model): joint function protection (number of participants with no joint damage)","significance_only",2,2,0,0,0,0,0,0.7263,1.90872127253687,0.278577320015379,TRUE,FALSE,TRUE
"CD003429_pub5_data","10::3",10,"3","Adverse events","significance_only",2,2,0,0,0,2,2,0.0385,1.6094379124341,0.0708572276970473,FALSE,TRUE,TRUE
"CD003594_pub7_data","1::2",1,"2","Complete remission","significance_only",15,15,0,1,0,6,4,0.2396,0.361887613119519,0.114831673147631,FALSE,TRUE,TRUE
"CD003594_pub7_data","3::3",3,"3","Adverse events","significance_only",2,2,0,0,0,0,0,0.1806,-0.784693397917896,-0.112523103484935,FALSE,TRUE,TRUE
"CD003594_pub7_data","2::3",2,"3","Treatment response at 12 months","direction_only",6,6,0,0,1,0,1,0.4683,0.0888953452633987,-0.00770553800396035,FALSE,FALSE,FALSE
"CD003594_pub7_data","6::2",6,"2","Adverse events (weeks 0 to 26)","significance_only",2,2,0,0,0,0,0,0.298,-0.697399627111792,-0.128646557152905,FALSE,TRUE,TRUE
"CD003594_pub7_data","4::4",4,"4","Adverse events","significance_only",2,2,0,0,0,2,2,0.0625,1.82901972025697,0.101569939868854,FALSE,TRUE,TRUE
"CD003594_pub7_data","4::5",4,"5","Adverse events","significance_only",2,2,0,0,0,2,2,0.05,1.62140604006974,0.090647214607629,FALSE,TRUE,TRUE
"CD003598_pub3_data","1::overall",1,"","All-cause death","significance_only",66,66,0,33,0,58,44,0.0779,-0.230942991272394,-0.00617800539885085,TRUE,FALSE,TRUE
"CD003598_pub3_data","2::overall",2,"","Graft loss","significance_only",60,60,0,26,0,38,30,0.1149,-0.199730162087049,-0.00432937951389666,TRUE,FALSE,TRUE
"CD003598_pub3_data","3::overall",3,"","Creatinine clearance [mL/min]","significance_only",56,56,0,48,0,51,51,0.0144,-0.197171237719586,-0.0231460431393347,FALSE,TRUE,TRUE
"CD003598_pub3_data","6::overall",6,"","Cardiovascular death","direction_only",39,39,0,32,0,37,35,0.018,-0.079868171024321,0.00290247600435454,FALSE,FALSE,FALSE
"CD003598_pub3_data","7::overall",7,"","Systolic blood pressure [mm Hg]","direction_only",20,20,0,12,0,15,16,0.1009,0.0549254138062428,-0.000746828625615281,FALSE,FALSE,FALSE
"CD003598_pub3_data","10::overall",10,"","Any rejection","direction_only",36,36,0,20,0,23,22,0.1561,-0.0199798230453687,0.00169084727570514,FALSE,FALSE,FALSE
"CD003598_pub3_data","11::overall",11,"","Acute rejection","direction_only",36,36,0,22,0,27,24,0.0888,0.0582727082595083,-0.00559974880647313,FALSE,FALSE,FALSE
"CD003598_pub3_data","13::overall",13,"","Rejection rate","significance_only",19,19,0,10,0,14,12,0.0675,0.431912467927358,0.0487054920760724,FALSE,TRUE,TRUE
"CD003598_pub3_data","14::overall",14,"","Proteinuria [g/24 hours]","direction_only",16,16,0,7,0,11,10,0.0577,-0.0193153028844573,0.0230809262236071,FALSE,FALSE,FALSE
"CD003598_pub3_data","16::overall",16,"","Fatal myocardial infarction","significance_only",12,12,0,5,0,9,9,0.0331,0.0390026185686569,0.0228884307244063,FALSE,TRUE,TRUE
"CD003598_pub3_data","18::overall",18,"","Any adverse event","significance_only",8,8,0,5,0,6,5,0.1668,-0.875290068506078,-0.12543240159083,TRUE,FALSE,TRUE
"CD003598_pub3_data","28::overall",28,"","Withdrawal due to hypotension","significance_only",10,10,0,3,0,7,7,0.0192,0.732926331829942,0.0233935777371534,FALSE,TRUE,TRUE
"CD003598_pub3_data","31::overall",31,"","Peripheral oedema","direction_only",2,2,0,0,0,1,1,0.1292,-0.213131417608965,0.00493507130323374,FALSE,FALSE,FALSE
"CD003774_pub5_data","9::overall",9,"","All-cause death according to CMV status","direction_only",26,26,0,3,0,9,7,0.2203,-0.0272244179674384,0.00110699098526747,FALSE,FALSE,FALSE
"CD003774_pub5_data","11::overall",11,"","All-cause death and ganciclovir duration","direction_only",41,41,0,5,0,18,13,0.1867,-0.0882563806975551,0.00157241411237282,FALSE,FALSE,FALSE
"CD003962_pub3_data","1::overall",1,"","Kidney failure or doubling of serum creatinine","significance_only",13,13,0,4,0,8,6,0.1665,0.820182256605017,0.132258050739616,TRUE,FALSE,TRUE
"CD003962_pub3_data","2::overall",2,"","Complete remission of proteinuria","direction_only",20,20,0,9,0,13,11,0.1244,-0.0842124768572457,0.0085167521436394,FALSE,FALSE,FALSE
"CD003962_pub3_data","3::overall",3,"","Partial remission of proteinuria","significance_only",14,14,0,4,0,5,4,0.4053,0.786631556862284,0.1070163540605,TRUE,FALSE,TRUE
"CD003962_pub3_data","4::overall",4,"","Proteinuria","direction_only",36,36,0,32,0,32,32,0.1126,-0.180481485612307,0.145793552055092,FALSE,FALSE,FALSE
"CD003962_pub3_data","10::overall",10,"","> 50% increase in serum creatinine","significance_only",11,11,0,8,0,9,9,0.0467,-0.856302699582698,-0.133421181249408,TRUE,FALSE,TRUE
"CD003962_pub3_data","15::overall",15,"","Serious adverse events","direction_only",6,6,0,1,0,3,3,0.1154,0.306424588356311,-0.00375074556237381,FALSE,FALSE,FALSE
"CD004184_pub3_data","4::overall",4,"","Withdrawals from treatment due to adverse events","significance_only",14,14,0,0,0,6,0,0.0383,-0.294238213673217,-0.0128212394548341,FALSE,TRUE,TRUE
"CD004376_pub4_data","5::overall",5,"","Study withdrawals at final follow-up","direction_only",179,123,56,19,0,43,31,0.1442,-0.0185544313469562,0.00774549672347173,FALSE,FALSE,FALSE
"CD004406_pub6_data","1::overall",1,"","Resolution of symptoms post-treatment (ITT analysis)","significance_only",17,17,0,0,0,0,0,0.3138,-0.130284347592539,-0.0351578903720913,FALSE,TRUE,TRUE
"CD004508_pub5_data","5::overall",5,"","Abdominal distension","direction_only",4,4,0,0,0,1,1,0.2361,-0.0165633998531304,0.0126463991399032,FALSE,FALSE,FALSE
"CD004661_pub4_data","1::overall",1,"","Death (fetal, neonatal, or later (up to 2 years' corrected age))","direction_only",55,50,5,12,5,21,14,0.0491,-0.046339518921544,6.30668116141984e-05,FALSE,FALSE,FALSE
"CD004661_pub4_data","5::overall",5,"","Death or major neurodevelopmental disability (up to 2 years' corrected age)","direction_only",31,29,2,10,2,17,15,0.0661,-0.0740864702713049,0.00121805687301906,FALSE,FALSE,FALSE
"CD004661_pub4_data","6::overall",6,"","Death (fetal, neonatal, or later (up to school age))","significance_only",24,24,0,3,0,5,5,0.0522,0.354462207559162,0.0137041315423828,TRUE,FALSE,TRUE
"CD004661_pub4_data","7::overall",7,"","Cerebral palsy (school age)","direction_only",23,23,0,0,0,0,0,0.1807,-0.00545331143910764,0.000400326472707336,FALSE,FALSE,FALSE
"CD004661_pub4_data","9::overall",9,"","Major neurodevelopmental disability (school age)","significance_only",22,22,0,0,0,0,0,0.1338,0.738354633136911,0.0593302521674603,TRUE,FALSE,TRUE
"CD004661_pub4_data","13::overall",13,"","Neonatal encephalopathy","significance_only",18,18,0,11,0,12,11,0.0864,0.696088830517675,0.0715659847488908,TRUE,FALSE,TRUE
"CD004661_pub4_data","17::overall",17,"","Retinopathy of prematurity","direction_only",4,4,0,0,0,1,1,0.1599,-0.0095393677102157,0.00309420951365953,FALSE,FALSE,FALSE
"CD004667_pub6_data","10::overall",10,"","Induction of labour","significance_only",14,14,0,0,0,0,0,0.2073,-0.102722121719142,-0.0169119233667792,FALSE,TRUE,TRUE
"CD004736_pub6_data","24::overall",24,"","Maternal severe anaemia at any time during second and third trimester (Hb less than 70 g/L): SUBGROUP ANALYSIS by anaemia status at the start of supplementation","direction_only",22,22,0,11,0,15,16,0.0163,-0.170216111527597,0.000226097371665611,FALSE,FALSE,FALSE
"CD004736_pub6_data","28::overall",28,"","Low birthweight (less than 2500 g) (ALL)","significance_only",26,26,0,5,0,8,6,0.0376,-0.183171768442347,-0.00374628619104179,TRUE,FALSE,TRUE
"CD004736_pub6_data","31::overall",31,"","Low birthweight (less than 2500 g): SUBGROUP ANALYSIS by dose of iron","significance_only",23,23,0,3,0,7,6,0.0575,-0.230119748111369,-0.0141630951603836,TRUE,FALSE,TRUE
"CD004736_pub6_data","35::overall",35,"","Birthweight (g): SUBGROUP ANALYSIS by anaemia status at the start of supplementation","direction_only",30,30,0,26,0,27,28,0.0022,-0.43016857970491,0.0126490430677368,FALSE,FALSE,FALSE
"CD004736_pub6_data","36::overall",36,"","Birthweight (g): SUBGROUP ANALYSIS by dose of iron","significance_only",34,34,0,31,0,32,31,0.0024,-0.593359454389844,-0.0615334512584553,TRUE,FALSE,TRUE
"CD004736_pub6_data","40::overall",40,"","Preterm birth (less than 37 weeks of gestation): SUBGROUP ANALYSIS by anaemia status at the start of supplementation","significance_only",23,23,0,5,0,8,8,0.0546,-0.0967272466077826,-0.00949378998145227,FALSE,TRUE,TRUE
"CD004736_pub6_data","44::overall",44,"","Neonatal death (within 28 days after delivery): SUBGROUP ANALYSIS by gestational age at the start of supplementation","direction_only",8,8,0,1,0,2,2,0.0169,-0.0437526497407454,0.000240608375806571,FALSE,FALSE,FALSE
"CD004736_pub6_data","52::overall",52,"","Congenital anomalies: SUBGROUP ANALYSIS by malarial status of setting","direction_only",7,7,0,2,0,4,4,0.0084,-0.145286117391261,0.000133755080313277,FALSE,FALSE,FALSE
"CD004736_pub6_data","62::overall",62,"","Severe anaemia postpartum (Hb less than 80 g/L) (ALL)","significance_only",8,8,0,6,0,6,7,0.1332,-0.0544764838389097,-0.0318278480045122,FALSE,TRUE,TRUE
"CD004736_pub6_data","63::overall",63,"","Puerperal infection (ALL)","significance_only",5,5,0,0,0,1,1,0.0514,-0.378920121806349,-0.010819490953763,TRUE,FALSE,TRUE
"CD004736_pub6_data","65::overall",65,"","Postpartum haemorrhage (ALL)","direction_only",3,3,0,0,0,2,1,0.0281,-0.193571402895433,0.00130337845499445,FALSE,FALSE,FALSE
"CD004736_pub6_data","67::overall",67,"","Diarrhoea (ALL)","significance_only",5,5,0,1,0,4,2,0.0406,-0.674173541502027,-0.0110161447011517,TRUE,FALSE,TRUE
"CD004736_pub6_data","71::overall",71,"","Vomiting (ALL)","direction_only",4,4,0,1,0,2,2,0.1095,-0.0923277893751177,0.0166389561406103,FALSE,FALSE,FALSE
"CD004953_pub5_data","2::overall",2,"","Death during hospitalisation","direction_only",13,13,0,3,0,5,4,0.1639,-0.063378770969754,0.0123151431852662,FALSE,FALSE,FALSE
"CD004953_pub5_data","3::2",3,"2","Death","direction_only",12,12,0,3,0,5,4,0.1545,-0.0807929145981088,0.00930455824916111,FALSE,FALSE,FALSE
"CD004953_pub5_data","6::overall",6,"","Pneumothorax during hospitalisation","direction_only",13,13,0,0,1,5,3,0.0752,-0.202375681961699,0.00378972371786655,FALSE,FALSE,FALSE
"CD004953_pub5_data","13::2",13,"2","Patent ductus arteriosus (PDA)","direction_only",4,4,0,2,0,3,3,0.0307,-0.31193832717391,0.00122630306136052,FALSE,FALSE,FALSE
"CD004953_pub5_data","1::2",1,"2","Death","direction_only",2,2,0,0,0,1,1,0.2941,-0.00363600388357654,0.0634934678840171,FALSE,FALSE,FALSE
"CD004992_pub4_data","3::overall",3,"","Requirement for further endometrioma surgery","significance_only",2,2,0,0,0,0,0,0.1966,-1.61614048992132,-0.214690253913725,TRUE,FALSE,TRUE
"CD005133_pub4_data","1::overall",1,"","All symptomatic CMV disease","significance_only",21,21,0,4,0,6,9,0.1195,-0.550256416915314,-0.082399938085971,FALSE,TRUE,TRUE
"CD005133_pub4_data","2::overall",2,"","Death (any cause)","direction_only",16,16,0,2,0,9,7,0.0641,-0.0850674235903681,0.00297128076956056,FALSE,FALSE,FALSE
"CD005133_pub4_data","4::overall",4,"","CMV-associated symptoms","direction_only",13,13,0,0,0,2,4,0.1551,0.103865514236235,-0.0320503501137118,FALSE,FALSE,FALSE
"CD005133_pub4_data","8::overall",8,"","Adverse events","significance_only",56,56,0,0,0,22,19,0.1782,-0.178646531411703,-0.00780450238543387,TRUE,FALSE,TRUE
"CD005187_pub6_data","4::overall",4,"","Deaths from lower respiratory tract infection ","direction_only",6,6,0,0,0,0,0,0.0217,-0.193051439968565,0.00256148920930032,FALSE,FALSE,FALSE
"CD005495_pub5_data","8::overall",8,"","Rate of cerebral palsy","significance_only",36,36,0,0,0,5,0,0.0835,-0.182422211047714,-0.0239807973078891,FALSE,TRUE,TRUE
"CD005566_pub4_data","2::overall",2,"","Cardiac complications, including 'no major complications'","significance_only",108,108,0,0,0,71,35,0.0633,0.172500361295016,0.00194394961143524,TRUE,FALSE,TRUE
"CD005595_pub4_data","12::overall",12,"","Adverse events (after non-surgical fracture management)","significance_only",38,38,0,3,0,33,29,0.0237,-0.217882268505669,-0.00932011576807357,FALSE,TRUE,TRUE
"CD005951_pub5_data","2::overall",2,"","Intracerebral haemorrhage expansion by 24 hours","significance_only",14,14,0,0,0,2,1,0.2821,-0.18016430137803,-0.0464324272194671,TRUE,FALSE,TRUE
"CD005951_pub5_data","6::overall",6,"","Death or dependence (Extended Glasgow Outcome Scale (GOS-E) 1-4) at day 90","significance_only",4,4,0,0,0,0,0,0.2063,-0.258853401184991,-0.0327119025295902,TRUE,FALSE,TRUE
"CD006023_pub4_data","5::overall",5,"","Constipation","significance_only",54,54,0,25,0,37,36,0.0321,0.266788792709498,0.0212961614760581,FALSE,TRUE,TRUE
"CD006023_pub4_data","7::overall",7,"","Coronary artery calcium score","significance_only",28,28,0,11,0,21,17,0.0358,0.478749595026122,0.0189715124189477,TRUE,FALSE,TRUE
"CD006023_pub4_data","9::overall",9,"","Stroke","significance_only",25,25,0,6,0,14,12,0.1065,-0.587083189767351,-0.0357945469907178,TRUE,FALSE,TRUE
"CD006023_pub4_data","10::overall",10,"","Hospitalisation","direction_only",18,18,0,5,0,10,8,0.099,0.0249431377196293,-0.0012860491676118,FALSE,FALSE,FALSE
"CD006023_pub4_data","11::overall",11,"","Fracture","direction_only",18,18,0,8,0,14,11,0.0262,-0.182258138529244,0.000193714885864489,FALSE,FALSE,FALSE
"CD006023_pub4_data","12::overall",12,"","Pruritus","direction_only",14,14,0,4,0,13,7,0.0415,0.000647124871000849,-0.00221588563914868,FALSE,FALSE,FALSE
"CD006023_pub4_data","19::overall",19,"","Serum calcium","significance_only",31,31,0,29,0,30,29,0.0047,0.268591967382393,0.0219003692705481,FALSE,TRUE,TRUE
"CD006023_pub4_data","20::overall",20,"","Serum calcium-by-phosphate product","direction_only",32,32,0,30,0,30,30,0.0054,-0.0255643725247575,0.00379676000894375,FALSE,FALSE,FALSE
