"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","log_or","log_or_ci_lb","log_or_ci_ub","rd","rd_ci_lb","rd_ci_ub","or_sig","rd_sig","direction_match","mismatch_type","sparse_events","double_zero"
"CD002052_pub4_data","3::overall",3,"overall","All‐cause mortality until hospital discharge",6,-0.0132990438117402,-0.779884443196963,0.753286355573483,0.00533895824849834,-0.083994389818222,0.0946723063152187,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002112_pub2_data","2::4",2,"4","Number of children achieving 14 consecutive dry nights by the end of treatment",8,0.548787418643163,-0.0737796537772848,1.17135449106361,0.0750577646446802,0.0251258658092371,0.124989663480123,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD002112_pub2_data","2::5",2,"5","Number of children achieving 14 consecutive dry nights by the end of treatment",4,-0.012158078447545,-0.547052538257894,0.522736381362804,0.00794967542453284,-0.0981512035712946,0.11405055442036,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD002112_pub2_data","2::6",2,"6","Number of children achieving 14 consecutive dry nights by the end of treatment",4,0.0111645307531015,-0.463810604597619,0.486139666103822,-0.00645595590712058,-0.0935399803088853,0.0806280684946441,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002112_pub2_data","3::overall",3,"overall","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)",6,-0.595262401127139,-1.1572380914163,-0.0332867108379746,-0.121984821774187,-0.246303233729155,0.00233359018078039,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD002112_pub2_data","4::1",4,"1","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)",12,0.415059973430352,-0.0131350315355879,0.843254978396293,0.0913183354976259,0.00436810990681041,0.178268561088441,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD002112_pub2_data","4::3",4,"3","Number of children relapsing after cessation of treatment",5,0.0818321895474927,-1.32398778397161,1.4876521630666,-0.0198683698688733,-0.291407693040723,0.251670953302976,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","1::3",1,"3","Pain (visual analogue scale)&nbsp;",4,-0.610111387508791,-1.57851446759405,0.358291692576464,-0.0544526947858061,-0.0906484303155796,-0.0182569592560326,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD002122_pub3_data","2::5",2,"5","Pain (4-point verbal rating scale)",6,0.029357410393524,-0.390325919186381,0.449040739973429,-0.000121551167099589,-0.0378986173098547,0.0376555149756555,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","2::8",2,"8","Adverse effects",4,-0.814118000525845,-1.64688937141372,0.0186533703620289,-0.0804970427426799,-0.12111281729484,-0.03988126819052,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD002122_pub3_data","3::1",3,"1","Pain (dichotomous)",6,-0.015417609003498,-0.551309975885319,0.520474757878323,0.0198075505275724,-0.0565733047532422,0.0961884058083871,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","3::2",3,"2","Pain (dichotomous)",6,0.0271236144041638,-0.598556386377016,0.652803615185343,-0.0267778726388821,-0.0925989406840341,0.0390431954062699,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","3::9",3,"9","Adverse effects",2,-0.0408224964287936,-1.01206442765006,0.93041943479247,0.0219085806942628,-0.109904499204171,0.153721660592697,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","6::1",6,"1","Quality of life",3,0.113075671418011,-0.619147918740918,0.845299261576939,-0.00195832337796727,-0.0673392400151204,0.0634225932591858,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD002122_pub3_data","6::10",6,"10","Adverse effects",3,-1.07379142921547,-1.86260931061117,-0.284973547819771,-0.106427021119375,-0.223869873793446,0.0110158315546954,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD002122_pub3_data","6::11",6,"11","Adverse effects",3,-1.87551324684182,-2.90621601798785,-0.844810475695792,-0.151268731614405,-0.303258832889974,0.000721369661165233,TRUE,FALSE,TRUE,"significance_only",TRUE,FALSE
"CD002122_pub3_data","6::5",6,"5","Adverse effects",2,-1.28504160280719,-2.35128470774317,-0.218798497871207,-0.125401728198048,-0.36649728512793,0.115693828731835,TRUE,FALSE,TRUE,"significance_only",TRUE,FALSE
"CD002122_pub3_data","7::16",7,"16","Adverse effects",3,0.208390908305619,-1.16643269951425,1.58321451612549,-0.00582632791533018,-0.0401357897559294,0.028483133925269,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","7::4",7,"4","Adverse effects",3,2.31853536430414,0.715250622442221,3.92182010616607,0.242336193302231,-0.0980183973777656,0.582690783982227,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD002122_pub3_data","7::7",7,"7","Adverse effects",3,-0.219304693653294,-3.68083498315127,3.24222559584468,0.0676407757235387,-0.191277730964719,0.326559282411797,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002122_pub3_data","7::8",7,"8","Adverse effects",3,-0.101157303167494,-0.905118722549963,0.702804116214975,0.00772346607950437,-0.0255634188319562,0.0410103509909649,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002203_pub5_data","13::overall",13,"overall","Acquisition of meticillin-resistant Staphylococcus aureus (MRSA)",5,0.0181766531826301,-0.593975483816248,0.630328790181508,-0.00526263172315449,-0.0324813218123256,0.0219560583660167,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002203_pub5_data","14::overall",14,"overall","Acquisition of Haemophilus influenzae",4,-0.0320884736269821,-0.560999670158459,0.496822722904495,0.00196589473012878,-0.0381900467119024,0.04212183617216,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD002243_pub5_data","21::2",21,"2","Number of participants with adverse events",36,-0.047586720082244,-0.189825981102059,0.0946525409375708,0.000353130277469786,-0.0117156167747812,0.0124218773297208,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD002243_pub5_data","7::2",7,"2","28-day all-cause mortality by subgroups based on age",5,0.0594115393912813,-0.774696343619863,0.893519422402425,-0.0253460158285403,-0.0797212500277128,0.0290292183706322,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003129_pub2_data","7::overall",7,"overall","Withdrawals due to adverse events",5,0.772829936968409,-0.629541727338734,2.17520160127555,0.0273570614659632,0.00780523697342822,0.0469088859584981,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003331_pub6_data","4::overall",4,"overall","Hospital admissions (all-cause) more than 12 months' follow-up",8,-0.487857614263124,-0.978326914856856,0.00261168633060882,-0.0989987525236258,-0.192617420984883,-0.0053800840623682,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD003333_pub4_data","2::overall",2,"overall","Non-fatal cardiovascular events (non-fatal stroke, myocardial infarction, pulmonary embolism, peripheral arterial embolism)",5,-0.232070922382987,-0.460090142540677,-0.00405170222529697,-0.0134553659407466,-0.0274193685787904,0.000508636697297218,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD003357_pub5_data","5::overall",5,"overall","Miscarriage rate per woman",3,0.140000336412752,-0.524640159555235,0.804640832380739,-0.0135118207440238,-0.0492652886511053,0.0222416471630578,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD003376_pub4_data","1::overall",1,"overall","Clinical vertebral fractures",98,-0.0979532814479582,-0.303986864444109,0.108080301548193,0.00518956749416327,-0.00265554806460928,0.0130346830529358,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003376_pub4_data","2::overall",2,"overall","Non-vertebral fractures",70,-0.031418176542453,-0.204630908291632,0.141794555206726,9.18372969363503e-05,-0.00965758445802354,0.00984125905189624,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003376_pub4_data","7::overall",7,"overall","Serious adverse events",8,-0.10961174207013,-0.715104108984887,0.495880624844627,0.00215247660905914,-0.0430431465899993,0.0473480998081176,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003414_pub4_data","1::1",1,"1","Live birth rate per woman",8,0.0529187781404367,-0.142072268059021,0.247909824339894,-0.000983367732137148,-0.0429212970664672,0.0409545616021929,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD003414_pub4_data","2::1",2,"1","Miscarriage rate per woman",14,-0.179236006968994,-0.540914702574039,0.18244268863605,-0.0168565838872494,-0.0317236348445612,-0.00198953292993758,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003414_pub4_data","2::3",2,"3","Miscarriage rate per woman",5,-0.180486080810075,-0.856504943185137,0.495532781564986,-0.0234109961860165,-0.0419208994522768,-0.00490109291975618,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003414_pub4_data","6::1",6,"1","Multiple pregnancy rate per woman",7,-0.0664681693954065,-0.511581878200526,0.378645539409713,0.00509539667654767,-0.0134509640040873,0.0236417573571826,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD003414_pub4_data","6::2",6,"2","Multiple pregnancy rate per woman",4,0.0640998192380396,-0.437438226927827,0.565637865403906,-0.00891276676038844,-0.0295251227495109,0.011699589228734,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD003414_pub4_data","6::3",6,"3","Multiple pregnancy rate per woman",3,0.00511885862637505,-0.615779938894454,0.626017656147204,-0.0127148276599632,-0.0589724012341408,0.0335427459142144,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD003429_pub5_data","10::3",10,"3","Adverse events",2,1.6094379124341,-0.574350043928056,3.79322586879626,0.0708572276970473,0.00255126762879093,0.139163187765304,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003429_pub5_data","2::overall",2,"overall","Joint function protection (number of participants with no joint damage)",2,1.90872127253687,0.729146267412449,3.08829627766129,0.278577320015379,-0.0139592208706379,0.571113860901396,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD003429_pub5_data","3::overall",3,"overall","Sensitivity analysis (fixed-effect model): joint function protection (number of participants with no joint damage)",2,1.90872127253687,0.729146267412449,3.08829627766129,0.278577320015379,-0.0139592208706379,0.571113860901396,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD003594_pub7_data","1::2",1,"2","Complete remission",15,0.361887613119519,-0.0287426075657075,0.752517833804745,0.114831673147631,0.0343021829802839,0.195361163314978,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD003594_pub7_data","2::3",2,"3","Treatment response at 12 months",6,0.0888953452633987,-0.50884508564865,0.686635776175448,-0.00770553800396035,-0.143448216355189,0.128037140347269,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD003594_pub7_data","3::3",3,"3","Adverse events",2,-0.784693397917896,-2.75584492597659,1.1864581301408,-0.112523103484935,-0.206471782739967,-0.018574424229904,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD003594_pub7_data","4::4",4,"4","Adverse events",2,1.82901972025697,-0.341803675172463,3.99984311568641,0.101569939868854,0.0112779976319334,0.191861882105775,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003594_pub7_data","4::5",4,"5","Adverse events",2,1.62140604006974,-0.573480305730688,3.81629238587017,0.090647214607629,0.00406646663399203,0.177227962581266,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD003594_pub7_data","6::2",6,"2","Adverse events (weeks 0 to 26)",2,-0.697399627111792,-1.69062353457476,0.295824280351171,-0.128646557152905,-0.247771609314298,-0.00952150499151165,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD003598_pub3_data","1::overall",1,"overall","All-cause death",66,-0.230942991272394,-0.412061783017353,-0.0498241995274354,-0.00617800539885085,-0.0139136935478458,0.00155768275014404,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","10::overall",10,"overall","Any rejection",36,-0.0199798230453687,-0.277665865864769,0.237706219774032,0.00169084727570514,-0.0421423959940604,0.0455240905454707,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003598_pub3_data","11::overall",11,"overall","Acute rejection",36,0.0582727082595083,-0.217346028834687,0.333891445353704,-0.00559974880647313,-0.0296949734183648,0.0184954758054186,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003598_pub3_data","13::overall",13,"overall","Rejection rate",19,0.431912467927358,-0.120945770126119,0.984770705980836,0.0487054920760724,0.0123235440426086,0.0850874401095362,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","14::overall",14,"overall","Proteinuria [g/24 hours]",16,-0.0193153028844573,-0.622060050392936,0.583429444624021,0.0230809262236071,-0.0190142970182121,0.0651761494654263,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003598_pub3_data","16::overall",16,"overall","Fatal myocardial infarction",12,0.0390026185686569,-0.672274784164642,0.750280021301956,0.0228884307244063,0.000352469860867032,0.0454243915879457,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","18::overall",18,"overall","Any adverse event",8,-0.875290068506078,-1.48650267675993,-0.264077460252231,-0.12543240159083,-0.284545809609799,0.0336810064281397,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","2::overall",2,"overall","Graft loss",60,-0.199730162087049,-0.360929664959141,-0.0385306592149563,-0.00432937951389666,-0.0118529884246521,0.00319422939685882,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","28::overall",28,"overall","Withdrawal due to hypotension",10,0.732926331829942,-0.289848379967293,1.75570104362718,0.0233935777371534,0.00626870322099546,0.0405184522533114,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","3::overall",3,"overall","Creatinine clearance [mL/min]",56,-0.197171237719586,-0.561985338706745,0.167642863267573,-0.0231460431393347,-0.0387439554876302,-0.00754813079103912,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD003598_pub3_data","31::overall",31,"overall","Peripheral oedema",2,-0.213131417608965,-0.782985275894513,0.356722440676584,0.00493507130323374,-0.0327783752551706,0.0426485178616381,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD003598_pub3_data","6::overall",6,"overall","Cardiovascular death",39,-0.079868171024321,-0.506172667025247,0.346436324976605,0.00290247600435454,-0.0249678702309499,0.030772822239659,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003598_pub3_data","7::overall",7,"overall","Systolic blood pressure [mm Hg]",20,0.0549254138062428,-0.332772577779456,0.442623405391941,-0.000746828625615281,-0.026055266845289,0.0245616095940584,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003774_pub5_data","11::overall",11,"overall","All-cause death and ganciclovir duration",41,-0.0882563806975551,-0.256388779928102,0.0798760185329922,0.00157241411237282,-0.0109008653228537,0.0140456935475994,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003774_pub5_data","9::overall",9,"overall","All-cause death according to CMV status",26,-0.0272244179674384,-0.351867657424765,0.297418821489888,0.00110699098526747,-0.0288158963164138,0.0310298782869487,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003962_pub3_data","1::overall",1,"overall","Kidney failure or doubling of serum creatinine",13,0.820182256605017,0.00304548622009027,1.63731902698994,0.132258050739616,-0.00389313517297193,0.268409236652205,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003962_pub3_data","10::overall",10,"overall","> 50% increase in serum creatinine",11,-0.856302699582698,-1.70256942766573,-0.0100359714996626,-0.133421181249408,-0.400336722910942,0.133494360412126,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003962_pub3_data","15::overall",15,"overall","Serious adverse events",6,0.306424588356311,-0.15734649408006,0.770195670792683,-0.00375074556237381,-0.0196208089531136,0.012119317828366,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003962_pub3_data","2::overall",2,"overall","Complete remission of proteinuria",20,-0.0842124768572457,-0.63321446044951,0.464789506735019,0.0085167521436394,-0.0796035526455005,0.0966370569327793,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD003962_pub3_data","3::overall",3,"overall","Partial remission of proteinuria",14,0.786631556862284,0.38529923983533,1.18796387388924,0.1070163540605,-0.0247796527581039,0.238812360879105,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD003962_pub3_data","4::overall",4,"overall","Proteinuria",36,-0.180481485612307,-0.585920482675328,0.224957511450713,0.145793552055092,-0.230908823829363,0.522495927939548,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD004184_pub3_data","4::overall",4,"overall","Withdrawals from treatment due to adverse events",14,-0.294238213673217,-0.649642425150796,0.0611659978043628,-0.0128212394548341,-0.0247277558095662,-0.000914723100102148,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD004376_pub4_data","5::overall",5,"overall","Study withdrawals at final follow-up",123,-0.0185544313469562,-0.13573644350473,0.0986275808108178,0.00774549672347173,-0.00610585565159026,0.0215968490985337,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD004406_pub6_data","1::overall",1,"overall","Resolution of symptoms post-treatment (ITT analysis)",17,-0.130284347592539,-0.272030322940448,0.0114616277553705,-0.0351578903720913,-0.0555489981690263,-0.0147667825751564,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD004508_pub5_data","5::overall",5,"overall","Abdominal distension",4,-0.0165633998531304,-0.429048472534218,0.395921672827957,0.0126463991399032,-0.0171195009962024,0.0424122992760088,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD004661_pub4_data","1::overall",1,"overall","Death (fetal, neonatal, or later (up to 2 years' corrected age))",50,-0.046339518921544,-0.133349874501788,0.0406708366587002,6.30668116141984e-05,-0.00212945178181328,0.00225558540504168,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD004661_pub4_data","13::overall",13,"overall","Neonatal encephalopathy",18,0.696088830517675,0.0277969043571779,1.36438075667817,0.0715659847488908,-0.00454385101646271,0.147675820514244,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD004661_pub4_data","17::overall",17,"overall","Retinopathy of prematurity",4,-0.0095393677102157,-0.17907799925523,0.159999263834799,0.00309420951365953,-0.00347978231714147,0.00966820134446053,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD004661_pub4_data","5::overall",5,"overall","Death or major neurodevelopmental disability (up to 2 years' corrected age)",29,-0.0740864702713049,-0.167487318638181,0.0193143780955706,0.00121805687301906,-0.000492413620464634,0.00292852736650276,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD004661_pub4_data","6::overall",6,"overall","Death (fetal, neonatal, or later (up to school age))",24,0.354462207559162,0.0465719072852781,0.662352507833045,0.0137041315423828,-0.000393031896626378,0.0278012949813919,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD004661_pub4_data","7::overall",7,"overall","Cerebral palsy (school age)",23,-0.00545331143910764,-0.0730159156549533,0.062109292776738,0.000400326472707336,-0.00829701385984319,0.00909766680525786,FALSE,FALSE,FALSE,"direction_only",FALSE,FALSE
"CD004661_pub4_data","9::overall",9,"overall","Major neurodevelopmental disability (school age)",22,0.738354633136911,0.244680481020839,1.23202878525298,0.0593302521674603,-0.00329659214083,0.121957096475751,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD004667_pub6_data","10::overall",10,"overall","Induction of labour",14,-0.102722121719142,-0.206700547318423,0.0012563038801386,-0.0169119233667792,-0.0333530469901066,-0.000470799743451874,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD004736_pub6_data","24::overall",24,"overall","Maternal severe anaemia at any time during second and third trimester (Hb less than 70 g/L): SUBGROUP ANALYSIS by anaemia status at the start of supplementation",22,-0.170216111527597,-0.386395938385045,0.0459637153298519,0.000226097371665611,-0.00214595053443006,0.00259814527776128,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
