"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","double_zero","sparse_events","orcc_ok","rd_ok","recommended_method","recommendation_reason"
"CD001155_pub3_data","4::overall","4","overall","Wrist fractures",78,29,49,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","5::overall","5","overall","Radiographic vertebral fractures",47,7,14,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","6::overall","6","overall","Withdrawals due to adverse events",40,4,15,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","7::overall","7","overall","Serious adverse events",21,1,2,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","8::overall","8","overall","Gastrointestinal adverse events",21,2,3,TRUE,TRUE,"RD","double_zero"
"CD001321_pub7_data","1::overall","1","overall","Symptomatic UTI: culture-verified UTI",103,4,11,TRUE,TRUE,"RD","double_zero"
"CD001321_pub7_data","2::overall","2","overall","Clinical UTI: symptoms, no culture",30,1,4,TRUE,TRUE,"RD","double_zero"
"CD001321_pub7_data","3::overall","3","overall","Microbiological UTI: positive culture without known symptoms",8,0,1,TRUE,TRUE,"RD","sparse_events"
"CD001321_pub7_data","4::overall","4","overall","Death",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD001321_pub7_data","5::overall","5","overall","Gastrointestinal adverse events",10,0,5,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","1::overall","1","overall","Self-rated overall premenstrual symptoms",49,46,46,TRUE,TRUE,"RD","double_zero"
"CD001396_pub4_data","2::overall","2","overall","Nausea",56,0,4,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","3::overall","3","overall","Insomnia or sleep disturbance",29,0,6,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","4::overall","4","overall","Sexual dysfunction or decreased libido",23,0,6,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","5::overall","5","overall","Fatigue or sedation",14,0,4,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","6::overall","6","overall","Dizziness or vertigo",21,0,5,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","7::overall","7","overall","Tremor",8,0,3,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","8::overall","8","overall","Somnolence/decreased concentration",14,0,2,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","9::overall","9","overall","Sweating",16,0,1,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","10::overall","10","overall","Dry mouth",16,0,3,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","11::overall","11","overall","Asthenia/decreased energy",13,0,3,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","12::overall","12","overall","Diarrhoea",19,0,5,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","13::overall","13","overall","Constipation",10,0,7,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","14::overall","14","overall","Withdrawal due to adverse effects",26,0,7,TRUE,TRUE,"RD","sparse_events"
"CD001396_pub4_data","19::overall","19","overall","Response rates",30,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001396_pub4_data","20::overall","20","overall","Withdrawal for any reason",18,2,2,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","1::overall","1","overall","Informed values-choice congruence - all studies",437,249,256,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","2::overall","2","overall","Informed values-choice congruence - without studies of high risk of bias",377,200,207,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","3::overall","3","overall","Informed values-choice congruence - old vs new studies",353,237,243,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","4::overall","4","overall","Informed values-chose congruence - using MMIC",136,61,61,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","5::overall","5","overall","Informed values-chose congruence - using non-MMIC measures",116,49,50,TRUE,TRUE,"RD","double_zero"
"CD001431_pub6_data","6::overall","6","overall","Unclear values - old vs new studies",60,56,56,TRUE,TRUE,"RD","double_zero"
"CD001533_pub7_data","1::overall","1","overall","Number with frequent relapses by 12 to 24 months",43,5,6,TRUE,TRUE,"RD","double_zero"
"CD001533_pub7_data","2::overall","2","overall","Number relapsing by 12 to 24 months",47,6,11,TRUE,TRUE,"RD","double_zero"
"CD001533_pub7_data","3::overall","3","overall","Number with frequent relapses by 12 to 24 months: stratified by risk of selection bias",30,7,12,TRUE,TRUE,"RD","double_zero"
"CD001533_pub7_data","4::overall","4","overall","Number relapsing by 12 to 24 months: stratified by risk of selection bias",27,7,7,TRUE,TRUE,"RD","double_zero"
"CD001533_pub7_data","5::overall","5","overall","Adverse events",68,13,24,TRUE,TRUE,"RD","double_zero"
"CD001552_pub3_data","1::overall","1","overall","Clinical improvement at short-term follow-up: 3 months or less",10,3,3,TRUE,TRUE,"RD","double_zero"
"CD001552_pub3_data","2::overall","2","overall","Clinical improvement at long-term follow-up: over 3 months",13,6,6,TRUE,TRUE,"RD","double_zero"
"CD001552_pub3_data","3::overall","3","overall","Symptoms at short-term follow-up: 3 months or less",11,10,11,FALSE,TRUE,"RD","double_zero"
"CD001552_pub3_data","6::overall","6","overall","Function at long-term follow-up: over 3 months",8,7,7,FALSE,TRUE,"RD","double_zero"
"CD001552_pub3_data","7::overall","7","overall","Health-related quality of life at long-term follow-up: over 3 months",5,4,5,FALSE,TRUE,"RD","double_zero"
"CD001552_pub3_data","8::overall","8","overall","Adverse effects",4,2,3,TRUE,TRUE,"RD","double_zero"
"CD001552_pub3_data","9::overall","9","overall","Need for surgery or secondary surgery at short-term follow-up: 3 months or less",4,1,3,TRUE,TRUE,"RD","double_zero"
"CD001552_pub3_data","10::overall","10","overall","Need for surgery or secondary surgery at long-term follow-up: over 3 months",6,0,4,TRUE,TRUE,"RD","sparse_events"
"CD001703_pub4_data","25::overall","25","overall","Non-specific low back pain and spine-related leg pain: total adverse events",18,1,2,TRUE,TRUE,"RD","double_zero"
"CD001703_pub4_data","26::overall","26","overall","Non-specific low back pain and spine-related leg pain: serious adverse events",10,1,6,TRUE,TRUE,"RD","double_zero"
"CD001703_pub4_data","27::overall","27","overall","Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events",22,1,7,TRUE,TRUE,"RD","double_zero"
"CD001797_pub4_data","1::overall","1","overall","Significant improvement in disability within 6 weeks",8,1,2,TRUE,TRUE,"RD","double_zero"
"CD001797_pub4_data","2::overall","2","overall","Significant improvement in disability within 6 weeks; generic inverse variance approach",4,2,2,TRUE,TRUE,"RD","double_zero"
"CD001797_pub4_data","3::overall","3","overall","Improvement ≥ 1 point on Rankin scale",5,2,3,TRUE,TRUE,"RD","double_zero"
"CD001797_pub4_data","6::overall","6","overall","Change in mean disability score on Rankin scale within 6 weeks",5,4,5,FALSE,TRUE,"RD","double_zero"
"CD001797_pub4_data","7::overall","7","overall","Change in muscle strength (mean Medical Research Council sum score) within 6 weeks",4,2,3,TRUE,TRUE,"RD","double_zero"
"CD001797_pub4_data","8::overall","8","overall","Change in mean disability score at 24 weeks or later",2,1,1,FALSE,TRUE,"RD","double_zero"
"CD001797_pub4_data","9::overall","9","overall","Frequency of serious side effects",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD001797_pub4_data","10::overall","10","overall","Frequency of any side effects",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD001837_pub4_data","1::overall","1","overall","Quit at longest follow-up (6 + months)",110,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001837_pub4_data","2::overall","2","overall","Combined (pharmacotherapy + behavioural) support versus no support post-discharge",20,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001837_pub4_data","3::overall","3","overall","Varenicline vs placebo or no varenicline",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001837_pub4_data","4::overall","4","overall","Combined (pharmacotherapy + behavioural) support vs neither",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001909_pub4_data","1::overall","1","overall","≥ 50% reduction in seizure frequency (intention-to-treat analysis)",51,4,17,TRUE,TRUE,"RD","double_zero"
"CD001909_pub4_data","2::overall","2","overall","≥ 50% reduction in seizure frequency (worst-case analysis)",25,2,6,TRUE,TRUE,"RD","double_zero"
"CD001909_pub4_data","3::overall","3","overall","≥ 50% reduction in seizure frequency (best-case analysis)",24,0,6,TRUE,TRUE,"RD","sparse_events"
"CD001909_pub4_data","4::overall","4","overall","Nausea",12,1,5,TRUE,TRUE,"RD","double_zero"
"CD001909_pub4_data","5::overall","5","overall","Somnolence",13,1,4,TRUE,TRUE,"RD","double_zero"
"CD001909_pub4_data","6::overall","6","overall","Diplopia",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001909_pub4_data","7::overall","7","overall","Headache",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD001920_pub4_data","5::overall","5","overall","Length of stay",141,136,137,TRUE,TRUE,"RD","double_zero"
"CD001920_pub4_data","6::overall","6","overall","Adverse events",168,157,163,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","1::overall","1","overall","Participants exposed to blood transfusion (all trials)",57,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::1","2","1","Participants exposed to blood transfusion by clinical specialties",11,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::2","2","2","Participants exposed to blood transfusion by clinical specialties",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::3","2","3","Participants exposed to blood transfusion by clinical specialties",13,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::4","2","4","Participants exposed to blood transfusion by clinical specialties",9,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::5","2","5","Participants exposed to blood transfusion by clinical specialties",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::6","2","6","Participants exposed to blood transfusion by clinical specialties",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::8","2","8","Participants exposed to blood transfusion by clinical specialties",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::9","2","9","Participants exposed to blood transfusion by clinical specialties",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","2::10","2","10","Participants exposed to blood transfusion by clinical specialties",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","3::1","3","1","Participants exposed to blood transfusion by threshold difference",35,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","3::2","3","2","Participants exposed to blood transfusion by threshold difference",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","4::1","4","1","Participants exposed to blood transfusion by restrictive threshold",20,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","4::2","4","2","Participants exposed to blood transfusion by restrictive threshold",21,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","6::overall","6","overall","30-day mortality",44,7,20,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","7::1","7","1","30-day mortality: subgroup by restrictive haemoglobin level",24,4,8,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","7::2","7","2","30-day mortality: subgroup by restrictive haemoglobin level",19,3,10,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::1","8","1","30-day mortality: subgroup by clinical specialties (random-effects model)",5,1,2,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::2","8","2","30-day mortality: subgroup by clinical specialties (random-effects model)",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","8::3","8","3","30-day mortality: subgroup by clinical specialties (random-effects model)",9,2,5,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::4","8","4","30-day mortality: subgroup by clinical specialties (random-effects model)",9,1,1,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::5","8","5","30-day mortality: subgroup by clinical specialties (random-effects model)",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::6","8","6","30-day mortality: subgroup by clinical specialties (random-effects model)",4,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","8::8","8","8","30-day mortality: subgroup by clinical specialties (random-effects model)",5,1,5,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::10","8","10","30-day mortality: subgroup by clinical specialties (random-effects model)",3,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","9::1","9","1","30-day mortality: subgroup by clinical specialties (fixed-effect model)",5,1,2,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::2","9","2","30-day mortality: subgroup by clinical specialties (fixed-effect model)",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","9::3","9","3","30-day mortality: subgroup by clinical specialties (fixed-effect model)",9,2,5,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::4","9","4","30-day mortality: subgroup by clinical specialties (fixed-effect model)",9,1,1,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::5","9","5","30-day mortality: subgroup by clinical specialties (fixed-effect model)",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::6","9","6","30-day mortality: subgroup by clinical specialties (fixed-effect model)",4,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","9::8","9","8","30-day mortality: subgroup by clinical specialties (fixed-effect model)",5,1,5,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::10","9","10","30-day mortality: subgroup by clinical specialties (fixed-effect model)",3,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","10::1","10","1","30-day mortality: subgroup by prospective trial registration vs no prospective registration",27,4,11,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","10::2","10","2","30-day mortality: subgroup by prospective trial registration vs no prospective registration",17,3,9,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","11::1","11","1","30-day mortality: sensitivity analysis by allocation concealment",31,3,11,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","12::overall","12","overall","30-day mortality sensitivity analysis excluding trials at high risk of non-anaemic participants",31,4,11,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","13::overall","13","overall","In-hospital mortality (as defined by triallists)",19,3,6,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","14::overall","14","overall","90-day mortality",11,2,4,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","15::1","15","1","6-month, 12-month mortality",9,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","15::2","15","2","6-month, 12-month mortality",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","15::3","15","3","6-month, 12-month mortality",12,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","16::overall","16","overall","Neurocritically ill patients: unfavourable neurological outcome (dichotomised GOS-E or Rankin) at 6 to 12 months",7,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002042_pub6_data","17::overall","17","overall","Morbidity: myocardial infarction",36,7,23,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","18::overall","18","overall","Morbidity: congestive heart failure",22,4,10,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","19::overall","19","overall","Morbidity: cerebrovascular accident (CVA) – stroke",29,2,16,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","20::overall","20","overall","Morbidity: infection (composite)",39,2,7,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","21::overall","21","overall","Morbidity: pneumonia",21,0,7,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","22::overall","22","overall","Morbidity: sepsis/bacteraemia",19,1,6,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","23::overall","23","overall","Morbidity: sepsis",13,0,4,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","24::overall","24","overall","Morbidity: bacteraemia",12,1,3,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","25::overall","25","overall","Morbidity: meningitis, ventriculitis or brain abscess",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","26::overall","26","overall","Morbidity: wound infection",15,0,5,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","27::overall","27","overall","Morbidity: thromboembolism",21,2,16,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","28::overall","28","overall","Morbidity: rebleeding",12,1,4,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","29::overall","29","overall","Morbidity: clinically significant bleeding through thrombocytopaenia at longest follow-up",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","30::overall","30","overall","Morbidity: acute kidney injury (AKI)",15,1,3,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","31::overall","31","overall","Morbidity: renal failure requiring dialysis/replacement therapy",9,3,4,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","32::overall","32","overall","Morbidity: delirium",10,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","33::overall","33","overall","Adverse events (composite of all)",18,0,8,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","34::overall","34","overall","Adverse events (serious only)",10,0,6,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","4::overall","4","overall","30-day mortality",7,4,4,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","5::1","5","1","30-day mortality: subgroup by clinical specialties",4,2,3,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","6::1","6","1","30-day mortality: subgroup by prospective trial registration vs no prospective registration",4,2,2,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","6::2","6","2","30-day mortality: subgroup by prospective trial registration vs no prospective registration",3,2,2,FALSE,TRUE,"RD","double_zero"
"CD002042_pub6_data","8::overall","8","overall","30-day mortality (sensitivity analysis excluding Maitland study)",6,4,4,TRUE,TRUE,"RD","double_zero"
"CD002042_pub6_data","9::overall","9","overall","In-hospital mortality (as defined by triallists)",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","10::overall","10","overall","90-day mortality",3,2,2,FALSE,TRUE,"RD","double_zero"
"CD002042_pub6_data","11::overall","11","overall","6-month mortality",2,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002042_pub6_data","15::overall","15","overall","Morbidity: cerebrovascular accident (CVA)",2,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002052_pub4_data","1::overall","1","overall","Hypotension",4,1,2,TRUE,TRUE,"RD","double_zero"
"CD002052_pub4_data","2::overall","2","overall","Apnoea",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002052_pub4_data","3::overall","3","overall","All‐cause mortality until hospital discharge",6,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002052_pub4_data","6::overall","6","overall","Intraventricular haemorrhage (any grade)",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD002052_pub4_data","7::overall","7","overall","Pneumothorax",5,1,4,TRUE,TRUE,"RD","double_zero"
"CD002112_pub2_data","2::1","2","1","Number of children achieving 14 consecutive dry nights by the end of treatment",25,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::2","2","2","Number of children achieving 14 consecutive dry nights by the end of treatment",21,0,5,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::3","2","3","Number of children achieving 14 consecutive dry nights by the end of treatment",14,0,4,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::4","2","4","Number of children achieving 14 consecutive dry nights by the end of treatment",8,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::5","2","5","Number of children achieving 14 consecutive dry nights by the end of treatment",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","3::1","3","1","Mean number of wet nights at follow-up",11,9,10,TRUE,TRUE,"RD","double_zero"
"CD002112_pub2_data","3::2","3","2","Mean number of wet nights at follow-up",4,3,3,FALSE,TRUE,"RD","double_zero"
"CD002112_pub2_data","4::1","4","1","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)",12,1,1,TRUE,TRUE,"RD","double_zero"
"CD002112_pub2_data","6::overall","6","overall","Adverse events",3,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::6","2","6","Number of children achieving 14 consecutive dry nights by the end of treatment",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","4::2","4","2","Number of children relapsing after cessation of treatment",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","4::3","4","3","Number of children relapsing after cessation of treatment",5,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","4::4","4","4","Number of children relapsing after cessation of treatment",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","4::5","4","5","Number of children relapsing after cessation of treatment",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","4::6","4","6","Number of children relapsing after cessation of treatment",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","5::overall","5","overall","Adverse events",5,0,2,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::overall","2","overall","Number of children achieving 14 consecutive dry nights by the end of treatment",15,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","3::overall","3","overall","Number of children dry at follow-up (maintaining 14 consecutive dry nights after stopping treatment)",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","4::overall","4","overall","Adverse events",8,0,4,TRUE,TRUE,"RD","sparse_events"
"CD002112_pub2_data","2::7","2","7","Number of children achieving 14 consecutive dry nights by the end of treatment",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002112_pub2_data","2::8","2","8","Number of children achieving 14 consecutive dry nights by the end of treatment",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002115_pub6_data","2::overall","2","overall","Number of participants with self-reported improvement in constipation (dichotomous)",13,8,8,TRUE,TRUE,"RD","double_zero"
"CD002115_pub6_data","9::overall","9","overall","Mean time spent per week on bowel care (dichotmous; participants spending < 10 minutes to pass stool)",4,2,2,TRUE,TRUE,"RD","double_zero"
"CD002115_pub6_data","11::overall","11","overall","Condition-specific quality of life measures (continuous)",7,5,6,TRUE,TRUE,"RD","double_zero"
"CD002115_pub6_data","13::overall","13","overall","Number of participants with adverse events (dichotomous)",4,0,3,TRUE,TRUE,"RD","sparse_events"
"CD002122_pub3_data","1::1","1","1","Pain (visual analogue scale)&nbsp;",5,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002122_pub3_data","1::2","1","2","Pain (visual analogue scale)&nbsp;",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002122_pub3_data","1::3","1","3","Pain (visual analogue scale)&nbsp;",4,0,1,TRUE,TRUE,"RD","sparse_events"
"CD002122_pub3_data","1::4","1","4","Pain (visual analogue scale)&nbsp;",2,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002122_pub3_data","1::5","1","5","Pain (visual analogue scale)&nbsp;",3,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD002122_pub3_data","2::1","2","1","Pain (4-point verbal rating scale)",8,0,1,TRUE,TRUE,"RD","sparse_events"
