"key","dataset_name_orig","analysis_key_orig","analysis_number_orig","subgroup_number_orig","analysis_name_orig","k_orig","double_zero_orig","sparse_events_orig","orcc_ok_orig","rd_ok_orig","recommended_method_orig","recommendation_reason_orig","orcc_pooled_effect","orcc_ci_lb","orcc_ci_ub","rd_pooled_effect","rd_ci_lb","rd_ci_ub","dataset_name_fix","analysis_key_fix","analysis_number_fix","subgroup_number_fix","analysis_name_fix","k_fix","double_zero_fix","sparse_events_fix","orcc_ok_fix","rd_ok_fix","recommended_method_fix","recommendation_reason_fix","method_changed"
"CD000028_pub4_data|5::overall","CD000028_pub4_data","5::overall",5,"overall","Coronary heart disease mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or",-0.140192643710262,-0.385079957697052,0.104694670276528,-0.00424396751535434,-0.0185434840583213,0.0100555490276127,"CD000028_pub4_data","5::overall","5","overall","Coronary heart disease mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|6::overall","CD000028_pub4_data","6::overall",6,"overall","Withdrawal due to adverse effects",4,0,0,TRUE,TRUE,"OR_cc","default_or",0.805260630807161,-0.131702829491559,1.74222409110588,0.0652299173659433,-0.0198285004251063,0.150288335156993,"CD000028_pub4_data","6::overall","6","overall","Withdrawal due to adverse effects",4,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000143_pub2_data|1::overall","CD000143_pub2_data","1::overall",1,"overall","Extubation failure",47,0,3,TRUE,TRUE,"RD","sparse_events",-0.777236490680725,-1.06476729462323,-0.48970568673822,-0.187237216702086,-0.259470095058291,-0.11500433834588,"CD000143_pub2_data","1::overall","1","overall","Extubation failure",47,0,3,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000143_pub2_data|2::overall","CD000143_pub2_data","2::overall",2,"overall","Endotracheal reintubation",23,0,3,TRUE,TRUE,"RD","sparse_events",-0.240630952618133,-0.554073512464801,0.0728116072285356,-0.0692555504467284,-0.137574243233744,-0.000936857659713242,"CD000143_pub2_data","2::overall","2","overall","Endotracheal reintubation",23,0,3,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000143_pub2_data|4::overall","CD000143_pub2_data","4::overall",4,"overall","Oxygen dependency at 28 days",5,0,0,TRUE,TRUE,"OR_cc","default_or",-0.17791741421883,-0.975921812951837,0.620086984514177,-0.0398697010208078,-0.215216882613433,0.135477480571817,"CD000143_pub2_data","4::overall","4","overall","Oxygen dependency at 28 days",5,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000219_pub5_data|1::overall","CD000219_pub5_data","1::overall",1,"overall","Pain",27,0,0,TRUE,TRUE,"OR_cc","default_or",-0.391475083466115,-0.538581645713975,-0.244368521218255,-0.0569608735725528,-0.0834866347200655,-0.03043511242504,"CD000219_pub5_data","1::overall","1","overall","Pain",27,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000219_pub5_data|2::overall","CD000219_pub5_data","2::overall",2,"overall","Vomiting, diarrhoea or rash",11,0,2,TRUE,TRUE,"RD","sparse_events",0.61468961745144,0.355882148188981,0.8734970867139,0.0780540465499313,0.0366268229237578,0.119481270176105,"CD000219_pub5_data","2::overall","2","overall","Vomiting, diarrhoea or rash",11,0,2,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000219_pub5_data|3::overall","CD000219_pub5_data","3::overall",3,"overall","Abnormal tympanometry",14,0,0,TRUE,TRUE,"OR_cc","default_or",-0.24432973093191,-0.430440957387393,-0.0582185044764273,-0.0590036813500104,-0.102117796920488,-0.0158895657795333,"CD000219_pub5_data","3::overall","3","overall","Abnormal tympanometry",14,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000219_pub5_data|4::overall","CD000219_pub5_data","4::overall",4,"overall","Tympanic membrane perforation",7,2,4,TRUE,TRUE,"RD","double_zero",-0.741655129157561,-1.4745339564142,-0.00877630190092582,-0.0167414916007323,-0.0361508894047324,0.0026679062032678,"CD000219_pub5_data","4::overall","4","overall","Tympanic membrane perforation",7,2,4,TRUE,TRUE,"RD","double_zero",FALSE
"CD000219_pub5_data|5::overall","CD000219_pub5_data","5::overall",5,"overall","Contralateral otitis (in unilateral cases)",6,0,0,TRUE,TRUE,"OR_cc","default_or",-0.435430088842618,-0.993564772979594,0.122704595294358,-0.0509061863009239,-0.099601333161406,-0.00221103944044176,"CD000219_pub5_data","5::overall","5","overall","Contralateral otitis (in unilateral cases)",6,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000219_pub5_data|6::overall","CD000219_pub5_data","6::overall",6,"overall","Late AOM recurrences",6,0,0,TRUE,TRUE,"OR_cc","default_or",-0.107287777800948,-0.340120380923341,0.125544825321445,-0.0130242312807644,-0.0433557616900515,0.0173072991285227,"CD000219_pub5_data","6::overall","6","overall","Late AOM recurrences",6,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000478_pub5_data|1::overall","CD000478_pub5_data","1::overall",1,"overall","Failure to maintain remission",32,1,8,TRUE,TRUE,"RD","double_zero",-0.851654814332434,-1.11761692495479,-0.585692703710077,-0.193089453412727,-0.275832429108513,-0.110346477716941,"CD000478_pub5_data","1::overall","1","overall","Failure to maintain remission",32,1,8,TRUE,TRUE,"RD","double_zero",FALSE
"CD000478_pub5_data|2::overall","CD000478_pub5_data","2::overall",2,"overall","Withdrawal due to adverse event",6,2,5,TRUE,TRUE,"RD","double_zero",0.469376506878793,-0.291627289168017,1.2303803029256,0.0964145889662329,0.00926373329538287,0.183565444637083,"CD000478_pub5_data","2::overall","2","overall","Withdrawal due to adverse event",6,2,5,TRUE,TRUE,"RD","double_zero",FALSE
"CD000478_pub5_data|3::overall","CD000478_pub5_data","3::overall",3,"overall","Pancreatitis",2,0,2,TRUE,TRUE,"RD","sparse_events",1.47630916597649,-0.793408006953475,3.74602633890646,0.0879730980162044,-0.00849182569634768,0.184438021728756,"CD000478_pub5_data","3::overall","3","overall","Pancreatitis",2,0,2,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000478_pub5_data|4::overall","CD000478_pub5_data","4::overall",4,"overall","Bone marrow suppression",2,0,2,TRUE,TRUE,"RD","sparse_events",0.830651513260485,-1.23943093393124,2.90073396045221,0.0244316006336923,-0.0242742769859096,0.0731374782532942,"CD000478_pub5_data","4::overall","4","overall","Bone marrow suppression",2,0,2,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000547_pub3_data|1::overall","CD000547_pub3_data","1::overall",1,"overall","Uterine volume (mL) (preoperative)",28,28,28,TRUE,FALSE,"OR_cc","fallback_or",0.0655894329313119,-0.683198577470479,0.814377443333103,NA,NA,NA,"CD000547_pub3_data","1::overall","1","overall","Uterine volume (mL) (preoperative)",28,28,28,FALSE,TRUE,"RD","double_zero",TRUE
"CD000547_pub3_data|10::overall","CD000547_pub3_data","10::overall",10,"overall","Proportion with vertical incision",43,0,10,TRUE,TRUE,"RD","sparse_events",0.596089381697997,0.0855215595918681,1.10665720380413,0.11427180464374,0.0270266259480239,0.201516983339455,"CD000547_pub3_data","10::overall","10","overall","Proportion with vertical incision",43,0,10,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000547_pub3_data|11::overall","CD000547_pub3_data","11::overall",11,"overall","Duration of hospital stay (days)",4,4,4,TRUE,FALSE,"OR_cc","fallback_or",0.00502055638585296,-1.96695646526597,1.97699757803768,NA,NA,NA,"CD000547_pub3_data","11::overall","11","overall","Duration of hospital stay (days)",4,4,4,FALSE,TRUE,"RD","double_zero",TRUE
"CD000547_pub3_data|13::overall","CD000547_pub3_data","13::overall",13,"overall","Postoperative haemoglobin",4,4,4,TRUE,FALSE,"OR_cc","fallback_or",0.0200018946120046,-1.95518859220477,1.99519238142878,NA,NA,NA,"CD000547_pub3_data","13::overall","13","overall","Postoperative haemoglobin",4,4,4,FALSE,TRUE,"RD","double_zero",TRUE
"CD000547_pub3_data|2::overall","CD000547_pub3_data","2::overall",2,"overall","Postoperative morbidity (complications)",4,4,4,TRUE,FALSE,"OR_cc","fallback_or",0.0299441052219701,-1.94655953448393,2.00644774492787,NA,NA,NA,"CD000547_pub3_data","2::overall","2","overall","Postoperative morbidity (complications)",4,4,4,FALSE,TRUE,"RD","double_zero",TRUE
"CD000547_pub3_data|3::overall","CD000547_pub3_data","3::overall",3,"overall","Fibroid volume (mL) (preoperative)",24,24,24,TRUE,FALSE,"OR_cc","fallback_or",-0.00720866156329724,-0.817862021178761,0.803444698052166,NA,NA,NA,"CD000547_pub3_data","3::overall","3","overall","Fibroid volume (mL) (preoperative)",24,24,24,FALSE,TRUE,"RD","double_zero",TRUE
"CD000547_pub3_data|4::overall","CD000547_pub3_data","4::overall",4,"overall","Frequency of blood transfusions",9,3,6,TRUE,TRUE,"RD","double_zero",1.17189002005687,-0.373299808639181,2.71707984875291,0.242998724626201,-0.105936896018933,0.591934345271335,"CD000547_pub3_data","4::overall","4","overall","Frequency of blood transfusions",9,3,6,TRUE,TRUE,"RD","double_zero",FALSE
"CD000547_pub3_data|5::overall","CD000547_pub3_data","5::overall",5,"overall","Haemoglobin (preoperative)",25,14,18,TRUE,TRUE,"RD","double_zero",-0.430563744150343,-0.808829066939871,-0.0522984213608142,-0.0385717406780236,-0.0793913542271233,0.00224787287107607,"CD000547_pub3_data","5::overall","5","overall","Haemoglobin (preoperative)",25,14,18,TRUE,TRUE,"RD","double_zero",FALSE
"CD000547_pub3_data|6::overall","CD000547_pub3_data","6::overall",6,"overall","Postoperative morbidity (complications)",17,0,9,TRUE,TRUE,"RD","sparse_events",-0.749172512053013,-1.17649173979826,-0.321853284307771,-0.0149074373138737,-0.0340013574305625,0.00418648280281516,"CD000547_pub3_data","6::overall","6","overall","Postoperative morbidity (complications)",17,0,9,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000547_pub3_data|7::overall","CD000547_pub3_data","7::overall",7,"overall","Total frequency of adverse events",63,5,35,TRUE,TRUE,"RD","double_zero",0.381512123627162,0.0817809022197572,0.681243345034567,0.0138916375729962,0.00517144843639135,0.0226118267096011,"CD000547_pub3_data","7::overall","7","overall","Total frequency of adverse events",63,5,35,TRUE,TRUE,"RD","double_zero",FALSE
"CD000547_pub3_data|8::overall","CD000547_pub3_data","8::overall",8,"overall","Individual adverse events",57,1,12,TRUE,TRUE,"RD","double_zero",0.878604590001893,0.56078706181443,1.19642211818936,0.0978985736017303,0.057299465143645,0.138497682059816,"CD000547_pub3_data","8::overall","8","overall","Individual adverse events",57,1,12,TRUE,TRUE,"RD","double_zero",FALSE
"CD000547_pub3_data|9::overall","CD000547_pub3_data","9::overall",9,"overall","Proportion undergoing vaginal rather than abdominal procedure",4,1,1,TRUE,TRUE,"RD","double_zero",1.5064425538246,-0.0605545523573214,3.07343966000653,0.347787409899426,-0.0249776487822888,0.720552468581142,"CD000547_pub3_data","9::overall","9","overall","Proportion undergoing vaginal rather than abdominal procedure",4,1,1,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|1::overall","CD001155_pub3_data","1::overall",1,"overall","Clinical vertebral fractures",182,89,128,TRUE,TRUE,"RD","double_zero",-0.316167229164469,-0.449026723991138,-0.183307734337799,-0.0100284526713295,-0.017677772308817,-0.00237913303384186,"CD001155_pub3_data","1::overall","1","overall","Clinical vertebral fractures",182,89,128,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|2::overall","CD001155_pub3_data","2::overall",2,"overall","Non-vertebral fractures",494,195,284,TRUE,TRUE,"RD","double_zero",-0.0906954561924885,-0.144616284580484,-0.0367746278044926,-0.00277364437550082,-0.00448541234465428,-0.00106187640634736,"CD001155_pub3_data","2::overall","2","overall","Non-vertebral fractures",494,195,284,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|3::overall","CD001155_pub3_data","3::overall",3,"overall","Hip fractures",83,43,50,TRUE,TRUE,"RD","double_zero",-0.337419238210611,-0.46605841810203,-0.208780058319192,-0.00297338291797557,-0.00422466225942529,-0.00172210357652584,"CD001155_pub3_data","3::overall","3","overall","Hip fractures",83,43,50,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|4::overall","CD001155_pub3_data","4::overall",4,"overall","Wrist fractures",78,29,49,TRUE,TRUE,"RD","double_zero",-0.258903149160523,-0.408375901813986,-0.109430396507059,-0.00179715119018787,-0.00568497056471581,0.00209066818434007,"CD001155_pub3_data","4::overall","4","overall","Wrist fractures",78,29,49,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|5::overall","CD001155_pub3_data","5::overall",5,"overall","Radiographic vertebral fractures",47,7,14,TRUE,TRUE,"RD","double_zero",-0.631573641776405,-0.71138547309191,-0.551761810460901,-0.0321527541160525,-0.0416300150072439,-0.0226754932248612,"CD001155_pub3_data","5::overall","5","overall","Radiographic vertebral fractures",47,7,14,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|6::overall","CD001155_pub3_data","6::overall",6,"overall","Withdrawals due to adverse events",40,4,15,TRUE,TRUE,"RD","double_zero",-0.0175221304564189,-0.128062305300374,0.0930180443875357,0.00138003227089727,-0.00642630198600479,0.00918636652779932,"CD001155_pub3_data","6::overall","6","overall","Withdrawals due to adverse events",40,4,15,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|7::overall","CD001155_pub3_data","7::overall",7,"overall","Serious adverse events",21,1,2,TRUE,TRUE,"RD","double_zero",-0.0438222166077177,-0.176486786474362,0.0888423532589264,-0.00463821131866989,-0.0183143005064433,0.00903787786910354,"CD001155_pub3_data","7::overall","7","overall","Serious adverse events",21,1,2,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|8::overall","CD001155_pub3_data","8::overall",8,"overall","Gastrointestinal adverse events",21,2,3,TRUE,TRUE,"RD","double_zero",0.0204779795322341,-0.0622593085670185,0.103215267631487,0.00433262093223695,-0.0136843377706545,0.0223495796351284,"CD001155_pub3_data","8::overall","8","overall","Gastrointestinal adverse events",21,2,3,TRUE,TRUE,"RD","double_zero",FALSE
"CD001155_pub3_data|9::overall","CD001155_pub3_data","9::overall",9,"overall","Atypical femoral fracture",10,10,10,TRUE,FALSE,"OR_cc","fallback_or",-0.00941616274101494,-1.25252699365975,1.23369466817772,NA,NA,NA,"CD001155_pub3_data","9::overall","9","overall","Atypical femoral fracture",10,10,10,FALSE,TRUE,"RD","double_zero",TRUE
"CD001321_pub7_data|1::overall","CD001321_pub7_data","1::overall",1,"overall","Symptomatic UTI: culture-verified UTI",103,4,11,TRUE,TRUE,"RD","double_zero",-0.448045051901525,-0.567409184428879,-0.328680919374172,-0.0757943812958723,-0.097042734283471,-0.0545460283082737,"CD001321_pub7_data","1::overall","1","overall","Symptomatic UTI: culture-verified UTI",103,4,11,TRUE,TRUE,"RD","double_zero",FALSE
"CD001321_pub7_data|2::overall","CD001321_pub7_data","2::overall",2,"overall","Clinical UTI: symptoms, no culture",30,1,4,TRUE,TRUE,"RD","double_zero",-0.427314404102553,-0.650777589076879,-0.203851219128228,-0.0593927793715584,-0.0904992267551737,-0.0282863319879431,"CD001321_pub7_data","2::overall","2","overall","Clinical UTI: symptoms, no culture",30,1,4,TRUE,TRUE,"RD","double_zero",FALSE
"CD001321_pub7_data|3::overall","CD001321_pub7_data","3::overall",3,"overall","Microbiological UTI: positive culture without known symptoms",8,0,1,TRUE,TRUE,"RD","sparse_events",-0.0353187757382847,-0.348810864256747,0.278173312780178,0.0143322263162177,-0.0252326987490909,0.0538971513815263,"CD001321_pub7_data","3::overall","3","overall","Microbiological UTI: positive culture without known symptoms",8,0,1,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001321_pub7_data|4::overall","CD001321_pub7_data","4::overall",4,"overall","Death",4,1,1,TRUE,TRUE,"RD","double_zero",0.0940408879739941,-0.162236425655292,0.350318201603281,0.00742624782038314,-0.0137853942814444,0.0286378899222107,"CD001321_pub7_data","4::overall","4","overall","Death",4,1,1,TRUE,TRUE,"RD","double_zero",FALSE
"CD001321_pub7_data|5::overall","CD001321_pub7_data","5::overall",5,"overall","Gastrointestinal adverse events",10,0,5,TRUE,TRUE,"RD","sparse_events",0.334279996250128,-0.211570153510381,0.880130146010636,0.0080710934066093,0.00080373880766298,0.0153384480055556,"CD001321_pub7_data","5::overall","5","overall","Gastrointestinal adverse events",10,0,5,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|1::overall","CD001396_pub4_data","1::overall",1,"overall","Self-rated overall premenstrual symptoms",49,46,46,TRUE,TRUE,"RD","double_zero",-0.331325519568692,-0.717393216552619,0.0547421774152342,-0.0255665937301966,-0.217721056399212,0.166587868938819,"CD001396_pub4_data","1::overall","1","overall","Self-rated overall premenstrual symptoms",49,46,46,TRUE,TRUE,"RD","double_zero",FALSE
"CD001396_pub4_data|10::overall","CD001396_pub4_data","10::overall",10,"overall","Dry mouth",16,0,3,TRUE,TRUE,"RD","sparse_events",0.994250136462323,0.560167372480523,1.42833290044412,0.055798728885026,0.0298134864167108,0.0817839713533413,"CD001396_pub4_data","10::overall","10","overall","Dry mouth",16,0,3,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|11::overall","CD001396_pub4_data","11::overall",11,"overall","Asthenia/decreased energy",13,0,3,TRUE,TRUE,"RD","sparse_events",1.18664941685441,0.76827646681989,1.60502236688893,0.102512996754108,0.0765620485424826,0.128463944965734,"CD001396_pub4_data","11::overall","11","overall","Asthenia/decreased energy",13,0,3,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|12::overall","CD001396_pub4_data","12::overall",12,"overall","Diarrhoea",19,0,5,TRUE,TRUE,"RD","sparse_events",0.721877632800247,0.318210087823004,1.12554517777749,0.044446567415679,0.0308159575527691,0.0580771772785888,"CD001396_pub4_data","12::overall","12","overall","Diarrhoea",19,0,5,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|13::overall","CD001396_pub4_data","13::overall",13,"overall","Constipation",10,0,7,TRUE,TRUE,"RD","sparse_events",0.872398756747809,0.0848947242576213,1.659902789238,0.0355987158408401,0.00869195013617921,0.062505481545501,"CD001396_pub4_data","13::overall","13","overall","Constipation",10,0,7,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|14::overall","CD001396_pub4_data","14::overall",14,"overall","Withdrawal due to adverse effects",26,0,7,TRUE,TRUE,"RD","sparse_events",0.234223902239026,-0.0349888309729762,0.503436635451027,0.0231949619015941,0.00339695112128241,0.0429929726819059,"CD001396_pub4_data","14::overall","14","overall","Withdrawal due to adverse effects",26,0,7,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|15::overall","CD001396_pub4_data","15::overall",15,"overall","Psychological symptoms",8,8,8,TRUE,FALSE,"OR_cc","fallback_or",-0.333554005017934,-1.72518222107234,1.05807421103647,NA,NA,NA,"CD001396_pub4_data","15::overall","15","overall","Psychological symptoms",8,8,8,FALSE,TRUE,"RD","double_zero",TRUE
"CD001396_pub4_data|16::overall","CD001396_pub4_data","16::overall",16,"overall","Physical symptoms",7,7,7,TRUE,FALSE,"OR_cc","fallback_or",-0.19972890160598,-1.69030934884366,1.2908515456317,NA,NA,NA,"CD001396_pub4_data","16::overall","16","overall","Physical symptoms",7,7,7,FALSE,TRUE,"RD","double_zero",TRUE
"CD001396_pub4_data|17::overall","CD001396_pub4_data","17::overall",17,"overall","Functional symptoms",3,3,3,TRUE,FALSE,"OR_cc","fallback_or",-0.448234716936244,-2.72407899371958,1.82760955984709,NA,NA,NA,"CD001396_pub4_data","17::overall","17","overall","Functional symptoms",3,3,3,FALSE,TRUE,"RD","double_zero",TRUE
"CD001396_pub4_data|18::overall","CD001396_pub4_data","18::overall",18,"overall","Irritability",7,7,7,TRUE,FALSE,"OR_cc","fallback_or",-0.179512118301563,-1.67390536083197,1.31488112422885,NA,NA,NA,"CD001396_pub4_data","18::overall","18","overall","Irritability",7,7,7,FALSE,TRUE,"RD","double_zero",TRUE
"CD001396_pub4_data|19::overall","CD001396_pub4_data","19::overall",19,"overall","Response rates",30,0,0,TRUE,TRUE,"OR_cc","default_or",0.849725194880363,0.700195722281875,0.999254667478851,0.235595676865661,0.186191475181443,0.284999878549879,"CD001396_pub4_data","19::overall","19","overall","Response rates",30,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD001396_pub4_data|2::overall","CD001396_pub4_data","2::overall",2,"overall","Nausea",56,0,4,TRUE,TRUE,"RD","sparse_events",0.979288140663235,0.837876095886421,1.12070018544005,0.171361490582361,0.139711293310696,0.203011687854026,"CD001396_pub4_data","2::overall","2","overall","Nausea",56,0,4,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|20::overall","CD001396_pub4_data","20::overall",20,"overall","Withdrawal for any reason",18,2,2,TRUE,TRUE,"RD","double_zero",-0.0448480949907228,-0.276742917834918,0.187046727853472,-0.00150471687067638,-0.0400980122258685,0.0370885784845158,"CD001396_pub4_data","20::overall","20","overall","Withdrawal for any reason",18,2,2,TRUE,TRUE,"RD","double_zero",FALSE
"CD001396_pub4_data|3::overall","CD001396_pub4_data","3::overall",3,"overall","Insomnia or sleep disturbance",29,0,6,TRUE,TRUE,"RD","sparse_events",0.68875811379792,0.409203736488026,0.968312491107812,0.0545554131702025,0.0391817279731932,0.0699290983672117,"CD001396_pub4_data","3::overall","3","overall","Insomnia or sleep disturbance",29,0,6,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|4::overall","CD001396_pub4_data","4::overall",4,"overall","Sexual dysfunction or decreased libido",23,0,6,TRUE,TRUE,"RD","sparse_events",0.840377136664556,0.451858800457898,1.22889547287121,0.0570622484143037,0.034129786472479,0.0799947103561285,"CD001396_pub4_data","4::overall","4","overall","Sexual dysfunction or decreased libido",23,0,6,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|5::overall","CD001396_pub4_data","5::overall",5,"overall","Fatigue or sedation",14,0,4,TRUE,TRUE,"RD","sparse_events",0.417545881113574,0.0468803695997604,0.788211392627387,0.052722551126549,0.017068754261489,0.0883763479916091,"CD001396_pub4_data","5::overall","5","overall","Fatigue or sedation",14,0,4,TRUE,TRUE,"RD","sparse_events",FALSE
"CD001396_pub4_data|6::overall","CD001396_pub4_data","6::overall",6,"overall","Dizziness or vertigo",21,0,5,TRUE,TRUE,"RD","sparse_events",0.673085409578839,0.305385975605666,1.04078484355201,0.0404531815626793,0.0233684468469985,0.0575379162783601,"CD001396_pub4_data","6::overall","6","overall","Dizziness or vertigo",21,0,5,TRUE,TRUE,"RD","sparse_events",FALSE
