"dataset_id","analysis_id","issue"
"CD002052_pub4_data","4::1::Sedation 30 minutes post administration","No usable data for effect sizes"
"CD002052_pub4_data","4::2::Apnoea","No usable data for effect sizes"
"CD002052_pub4_data","4::3::Successful completion of the procedure","No usable data for effect sizes"
"CD002112_pub2_data","2::3::Mean number of wet nights at follow-up","No usable data for effect sizes"
"CD002112_pub2_data","2::5::Adverse events","No usable data for effect sizes"
"CD002112_pub2_data","5::3::Mean number of wet nights at follow-up","No usable data for effect sizes"
"CD002112_pub2_data","5::5::Adverse events","No usable data for effect sizes"
"CD002112_pub2_data","6::5::Adverse events","No usable data for effect sizes"
"CD002115_pub6_data","1::3::Number of participants with self-reported improvement in constipation (continuous)","No usable data for effect sizes"
"CD002122_pub3_data","1::4::Assessment of implant (continuous scale)","No usable data for effect sizes"
"CD002122_pub3_data","1::5::Assessment of implant (dichotomous)","No usable data for effect sizes"
"CD002122_pub3_data","4::5::Patient satisfaction","No usable data for effect sizes"
"CD002122_pub3_data","5::4::Assessment of implant (dichotomous)","No usable data for effect sizes"
"CD002122_pub3_data","5::6::Patient satisfaction","No usable data for effect sizes"
"CD002122_pub3_data","7::2::Assessment of implant","No usable data for effect sizes"
"CD002122_pub3_data","9::2::Assessment of implant","No usable data for effect sizes"
"CD002122_pub3_data","12::2::Adverse effects","No usable data for effect sizes"
"CD002122_pub3_data","13::2::Patient satisfaction (dichotomous)","No usable data for effect sizes"
"CD002122_pub3_data","14::1::Adverse effects","No usable data for effect sizes"
"CD002203_pub5_data","1::8::Number of days in hospital","No usable data for effect sizes"
"CD002203_pub5_data","1::12::Acquisition of macrolide-resistant Staphylococcal aureus","No usable data for effect sizes"
"CD002203_pub5_data","1::15::Acquisition of macrolide-resistant Haemophilus influenzae","No usable data for effect sizes"
"CD002203_pub5_data","1::18::Number of courses of oral antibiotics","No usable data for effect sizes"
"CD002203_pub5_data","1::19::Number of days of additional oral antibiotics","No usable data for effect sizes"
"CD002203_pub5_data","1::21::Number of courses of intravenous antibiotics","No usable data for effect sizes"
"CD002203_pub5_data","1::22::Number of days of intravenous antibiotics","No usable data for effect sizes"
"CD002203_pub5_data","1::23::Development of allergic bronchopulmonary aspergillosis","No usable data for effect sizes"
"CD002203_pub5_data","1::24::Change in BMI z score","No usable data for effect sizes"
"CD002203_pub5_data","1::25::Mean BMI score at 3 years of age","No usable data for effect sizes"
"CD002203_pub5_data","1::27::Change in total quality of life score (CFQ-R)","No usable data for effect sizes"
"CD002203_pub5_data","1::29::Change in respiratory symptom domain of CFQ-R QoL score","No usable data for effect sizes"
"CD002203_pub5_data","1::32::Change in eating disorder domain of CFQ-R QoL score","No usable data for effect sizes"
"CD002203_pub5_data","1::33::Change in problems with body weight domain of the CFQ-R QoL score","No usable data for effect sizes"
"CD002203_pub5_data","1::34::Change in inflammatory markers: IL-8 pg/mL","No usable data for effect sizes"
"CD002203_pub5_data","1::35::Change in inflammatory markers: neutrophil elastase µg/mL","No usable data for effect sizes"
"CD002203_pub5_data","1::36::Change in CRP","No usable data for effect sizes"
"CD002203_pub5_data","2::1::Pulmonary exacerbation rate (per child, per month)","No usable data for effect sizes"
"CD002203_pub5_data","3::2::Days to first pulmonary exacerbation","No usable data for effect sizes"
"CD002203_pub5_data","3::4::Days in hospital","No usable data for effect sizes"
"CD002203_pub5_data","3::5::Number of hospital admissions","No usable data for effect sizes"
"CD002203_pub5_data","3::6::Acquisition of azithromycin-resistant Staphylococcal aureus","No usable data for effect sizes"
"CD002243_pub5_data","2::2::Long-term mortality","No usable data for effect sizes"
"CD002243_pub5_data","2::4::90-day all-cause mortality","No usable data for effect sizes"
"CD002243_pub5_data","2::9::Number of participants with shock reversal at day 28","No usable data for effect sizes"
"CD002290_pub6_data","2::1::Relapse at 12 months","No usable data for effect sizes"
"CD002290_pub6_data","3::3::Relapse rate","No usable data for effect sizes"
"CD002290_pub6_data","3::4::Infection rate","No usable data for effect sizes"
"CD002290_pub6_data","4::1::Relapse/treatment failure during MMF therapy (to 505 days)","No usable data for effect sizes"
"CD002290_pub6_data","4::2::Relapse rate with RTX during MMF therapy (to 505 days)","No usable data for effect sizes"
"CD002290_pub6_data","4::3::Steroid dose during MMF therapy (to 505 days) [mg/m2/day]","No usable data for effect sizes"
"CD002290_pub6_data","4::4::Relapse/treatment failure during entire study","No usable data for effect sizes"
"CD002290_pub6_data","7::4::GFR at 12 months [mL/min]","No usable data for effect sizes"
"CD002290_pub6_data","8::1::Relapse at 12 months","No usable data for effect sizes"
"CD002290_pub6_data","8::2::Alopecia","No usable data for effect sizes"
"CD002290_pub6_data","10::1::Relapse by 12 months","No usable data for effect sizes"
"CD002290_pub6_data","11::1::Number with FRNS or SDNS","No usable data for effect sizes"
"CD002290_pub6_data","11::3::Sustained remission","No usable data for effect sizes"
"CD002290_pub6_data","11::4::Treatment failure","No usable data for effect sizes"
"CD002290_pub6_data","11::5::Serious adverse events","No usable data for effect sizes"
"CD002290_pub6_data","12::1::Infrequent or no relapses at 12 months","No usable data for effect sizes"
"CD002290_pub6_data","12::2::Relapse by 12 months","No usable data for effect sizes"
"CD002290_pub6_data","14::2::Number needing cytotoxic agents","No usable data for effect sizes"
"CD002290_pub6_data","14::3::Creatinine at end of study [µmol/L]","No usable data for effect sizes"
"CD002290_pub6_data","15::1::Remission","No usable data for effect sizes"
"CD002290_pub6_data","15::2::Overall reduction in prednisone dose","No usable data for effect sizes"
"CD002290_pub6_data","15::3::Adverse events","No usable data for effect sizes"
"CD002290_pub6_data","17::2::Relapse rate ","No usable data for effect sizes"
"CD002290_pub6_data","17::4::Infection rate","No usable data for effect sizes"
"CD002290_pub6_data","17::5::Cumulative prednisone dose [mg]","No usable data for effect sizes"
"CD002290_pub6_data","19::2::Relapse at 24 months","No usable data for effect sizes"
"CD002290_pub6_data","19::3::Leucopenia","No usable data for effect sizes"
"CD002290_pub6_data","20::1::Relapse at 12 months","No usable data for effect sizes"
"CD002290_pub6_data","21::2::Continuing frequently relapsing or steroid dependent SSNS at 6 months","No usable data for effect sizes"
"CD002290_pub6_data","22::1::Relapse at 12 months","No usable data for effect sizes"
"CD002290_pub6_data","28::1::Relapse at 6 months","No usable data for effect sizes"
"CD002303_pub4_data","1::1::Reulceration at 6 months","No usable data for effect sizes"
"CD002303_pub4_data","2::1::Reulceration","No usable data for effect sizes"
"CD002303_pub4_data","2::2::Noncompliance ","No usable data for effect sizes"
"CD002303_pub4_data","4::1::Reulceration at 18 months","No usable data for effect sizes"
"CD002303_pub4_data","4::2::Noncompliance  at 18 months","No usable data for effect sizes"
"CD002971_pub6_data","1::12::Hearing impairment","No usable data for effect sizes"
"CD002971_pub6_data","1::13::Visual impairment","No usable data for effect sizes"
"CD003129_pub2_data","1::4::Pain (visual analogue scale) ","No usable data for effect sizes"
"CD003129_pub2_data","1::5::Participant global assessment of well-being","No usable data for effect sizes"
"CD003129_pub2_data","2::2::Sustained clinically inactive disease (Wallace criteria or as defined by study authors)","No usable data for effect sizes"
"CD003129_pub2_data","2::6::Serious adverse events","No usable data for effect sizes"
"CD003129_pub2_data","2::7::Withdrawals due to adverse events","No usable data for effect sizes"
"CD003129_pub2_data","3::1::Treatment response (American College of Rheumatology criteria or as defined by study authors)","No usable data for effect sizes"
"CD003129_pub2_data","3::3::Function (Childhood Health Assessment Questionnaire or equivalent)","No usable data for effect sizes"
"CD003129_pub2_data","3::5::Participant global assessment of well-being","No usable data for effect sizes"
"CD003129_pub2_data","3::6::Serious adverse events","No usable data for effect sizes"
"CD003129_pub2_data","3::7::Withdrawals due to adverse events","No usable data for effect sizes"
"CD003214_pub4_data","1::1::Mortality","No usable data for effect sizes"
"CD003214_pub4_data","1::2::Chronic lung disease at 28 days","No usable data for effect sizes"
"CD003214_pub4_data","1::3::Duration of oxygen supplementation (days)","No usable data for effect sizes"
"CD003214_pub4_data","1::4::Duration of assisted ventilation (days)","No usable data for effect sizes"
"CD003214_pub4_data","1::5::Age of weaning from ventilatory support (days)","No usable data for effect sizes"
"CD003214_pub4_data","1::6::Need for intravenous dexamethasone","No usable data for effect sizes"
"CD003214_pub4_data","1::7::Infants with one or more episodes of respiratory infection","No usable data for effect sizes"
"CD003214_pub4_data","1::8::Infants with one or more episodes of sepsis (positive blood culture)","No usable data for effect sizes"
"CD003216_pub3_data","2::1::Incidence of pressure ulcers","No usable data for effect sizes"
"CD003216_pub3_data","3::1::Incidence of pressure ulcers","No usable data for effect sizes"
"CD003216_pub3_data","4::1::Incidence of pressure ulcers","No usable data for effect sizes"
"CD003216_pub3_data","6::1::Incidence of pressure ulcers","No usable data for effect sizes"
"CD003216_pub3_data","7::2::At least one adverse gastrointestinal effect","No usable data for effect sizes"
"CD003216_pub3_data","8::4::At least one adverse gastrointestinal effect","No usable data for effect sizes"
"CD003216_pub3_data","9::1::Pressure ulcers healed","No usable data for effect sizes"
"CD003216_pub3_data","9::2::Change in pressure ulcer area (cm²)","No usable data for effect sizes"
"CD003216_pub3_data","9::4::Change in PUSH score","No usable data for effect sizes"
"CD003216_pub3_data","9::5::DESIGN-R score","No usable data for effect sizes"
"CD003216_pub3_data","9::7::Costs (EUR)","No usable data for effect sizes"
"CD003216_pub3_data","9::8::Acceptability: non adherence","No usable data for effect sizes"
"CD003216_pub3_data","10::1::PUSH score","No usable data for effect sizes"
"CD003216_pub3_data","10::2::At least one side effect","No usable data for effect sizes"
"CD003216_pub3_data","10::3::Acceptability: non adherence","No usable data for effect sizes"
"CD003216_pub3_data","11::1::Pressure ulcers healed","No usable data for effect sizes"
"CD003216_pub3_data","11::2::PUSH score","No usable data for effect sizes"
"CD003216_pub3_data","12::1::Pressure ulcers healed","No usable data for effect sizes"
"CD003216_pub3_data","12::2::Pressure ulcer episodes","No usable data for effect sizes"
"CD003216_pub3_data","12::3::PUSH score","No usable data for effect sizes"
"CD003216_pub3_data","12::4::Diarrhoea episodes","No usable data for effect sizes"
"CD003216_pub3_data","12::5::Costs (EUR)","No usable data for effect sizes"
"CD003216_pub3_data","13::1::Change in pressure ulcer area (cm²)","No usable data for effect sizes"
"CD003216_pub3_data","13::3::DESIGN-R score","No usable data for effect sizes"
"CD003216_pub3_data","14::1::PUSH score","No usable data for effect sizes"
"CD003216_pub3_data","14::2::At least one adverse gastrointestinal effect","No usable data for effect sizes"
"CD003216_pub3_data","15::1::Change in pressure ulcer area (cm²)","No usable data for effect sizes"
"CD003216_pub3_data","15::2::Change in pressure ulcer area (percentage)","No usable data for effect sizes"
"CD003216_pub3_data","15::3::Side effects","No usable data for effect sizes"
"CD003216_pub3_data","16::2::Change in pressure ulcer area (percentage)","No usable data for effect sizes"
"CD003216_pub3_data","17::1::Pressure ulcers healed","No usable data for effect sizes"
"CD003216_pub3_data","17::2::Change in pressure ulcer volume (mL)","No usable data for effect sizes"
"CD003333_pub4_data","2::1::All-cause mortality","No usable data for effect sizes"
"CD003333_pub4_data","2::2::Non-fatal cardiovascular events (non-fatal stroke, myocardial infarction, pulmonary embolism, peripheral arterial embolism)","No usable data for effect sizes"
"CD003333_pub4_data","2::3::Major bleeding events","No usable data for effect sizes"
"CD003357_pub5_data","1::1::Live birth rate per woman","No usable data for effect sizes"
"CD003357_pub5_data","2::2::Clinical pregnancy rate per woman","No usable data for effect sizes"
"CD003357_pub5_data","2::3::Multiple pregnancy rate per woman","No usable data for effect sizes"
"CD003357_pub5_data","2::4::Miscarriage rate","No usable data for effect sizes"
"CD003376_pub4_data","1::8::Gastrointestinal adverse events","No usable data for effect sizes"
"CD003376_pub4_data","2::1::Radiographic vertebral fractures","No usable data for effect sizes"
"CD003376_pub4_data","4::1::Non-vertebral fractures","No usable data for effect sizes"
"CD003376_pub4_data","4::2::Hip fractures","No usable data for effect sizes"
"CD003376_pub4_data","4::3::Wrist fractures","No usable data for effect sizes"
"CD003376_pub4_data","5::2::Hip fractures","No usable data for effect sizes"
"CD003376_pub4_data","5::3::Wrist fractures","No usable data for effect sizes"
"CD003376_pub4_data","6::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD003376_pub4_data","6::3::Hip fractures","No usable data for effect sizes"
"CD003376_pub4_data","6::4::Wrist fractures","No usable data for effect sizes"
"CD003376_pub4_data","9::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD003376_pub4_data","10::4::Wrist fractures","No usable data for effect sizes"
"CD003376_pub4_data","11::4::Withdrawals due to adverse events","No usable data for effect sizes"
"CD003376_pub4_data","11::5::Serious adverse events","No usable data for effect sizes"
