"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","method_orig","method_fix","method_changed","chosen_effect_orig","chosen_effect_fix","chosen_ci_lb_orig","chosen_ci_ub_orig","chosen_ci_lb_fix","chosen_ci_ub_fix","sparse_events","double_zero","effect_delta"
"CD001396_pub4_data","7::overall",7,"overall","Tremor","RD","RD",FALSE,0.0513231729201229,0.0513231729201229,0.0233019732678964,0.0793443725723493,0.0233019732678964,0.0793443725723493,3,0,0
"CD001396_pub4_data","8::overall",8,"overall","Somnolence/decreased concentration","RD","RD",FALSE,0.0691350506104395,0.0691350506104395,0.0456243419307057,0.0926457592901733,0.0456243419307057,0.0926457592901733,2,0,0
"CD001396_pub4_data","9::overall",9,"overall","Sweating","RD","RD",FALSE,0.0521782749446118,0.0521782749446118,0.0287304825269211,0.0756260673623024,0.0287304825269211,0.0756260673623024,1,0,0
"CD001431_pub6_data","1::overall",1,"overall","Informed values-choice congruence - all studies","RD","RD",FALSE,0.0269153465455197,0.0269153465455197,0.00197309647122372,0.0518575966198158,0.00197309647122372,0.0518575966198158,256,249,0
"CD001431_pub6_data","2::overall",2,"overall","Informed values-choice congruence - without studies of high risk of bias","RD","RD",FALSE,0.0491238873824722,0.0491238873824722,0.024050696889521,0.0741970778754234,0.024050696889521,0.0741970778754234,207,200,0
"CD001431_pub6_data","3::overall",3,"overall","Informed values-choice congruence - old vs new studies","RD","RD",FALSE,0.0587080704522403,0.0587080704522403,0.0227643880750002,0.0946517528294804,0.0227643880750002,0.0946517528294804,243,237,0
"CD001431_pub6_data","4::overall",4,"overall","Informed values-chose congruence - using MMIC","RD","RD",FALSE,0.0692998439592606,0.0692998439592606,0.0319881999826204,0.106611487935901,0.0319881999826204,0.106611487935901,61,61,0
"CD001431_pub6_data","5::overall",5,"overall","Informed values-chose congruence - using non-MMIC measures","RD","RD",FALSE,0.0214160381232183,0.0214160381232183,-0.00440009810472736,0.047232174351164,-0.00440009810472736,0.047232174351164,50,49,0
"CD001431_pub6_data","6::overall",6,"overall","Unclear values - old vs new studies","RD","RD",FALSE,0.0757616451729043,0.0757616451729043,0.0152461086930892,0.136277181652719,0.0152461086930892,0.136277181652719,56,56,0
"CD001533_pub7_data","1::overall",1,"overall","Number with frequent relapses by 12 to 24 months","RD","RD",FALSE,-0.11421185623079,-0.11421185623079,-0.173335579014923,-0.0550881334466565,-0.173335579014923,-0.0550881334466565,6,5,0
"CD001533_pub7_data","2::overall",2,"overall","Number relapsing by 12 to 24 months","RD","RD",FALSE,-0.109793055789911,-0.109793055789911,-0.162831028639316,-0.0567550829405073,-0.162831028639316,-0.0567550829405073,11,6,0
"CD001533_pub7_data","3::overall",3,"overall","Number with frequent relapses by 12 to 24 months: stratified by risk of selection bias","RD","RD",FALSE,-0.0430193337937664,-0.0430193337937664,-0.0847891576273621,-0.00124950996017077,-0.0847891576273621,-0.00124950996017077,12,7,0
"CD001533_pub7_data","4::overall",4,"overall","Number relapsing by 12 to 24 months: stratified by risk of selection bias","RD","RD",FALSE,-0.186604161819847,-0.186604161819847,-0.267744377579874,-0.105463946059821,-0.267744377579874,-0.105463946059821,7,7,0
"CD001533_pub7_data","5::overall",5,"overall","Adverse events","RD","RD",FALSE,-0.0122336695618513,-0.0122336695618513,-0.0346912741687444,0.0102239350450418,-0.0346912741687444,0.0102239350450418,24,13,0
"CD001552_pub3_data","1::overall",1,"overall","Clinical improvement at short-term follow-up: 3 months or less","RD","RD",FALSE,-0.0586610217815243,-0.0586610217815243,-0.282749097073154,0.165427053510105,-0.282749097073154,0.165427053510105,3,3,0
"CD001552_pub3_data","10::overall",10,"overall","Need for surgery or secondary surgery at long-term follow-up: over 3 months","RD","RD",FALSE,-0.219535195345567,-0.219535195345567,-0.500223322639078,0.0611529319479431,-0.500223322639078,0.0611529319479431,4,0,0
"CD001552_pub3_data","2::overall",2,"overall","Clinical improvement at long-term follow-up: over 3 months","RD","RD",FALSE,0.294341505301409,0.294341505301409,0.0518487713538676,0.53683423924895,0.0518487713538676,0.53683423924895,6,6,0
"CD001552_pub3_data","3::overall",3,"overall","Symptoms at short-term follow-up: 3 months or less","OR_cc","RD",TRUE,-0.0106209002518973,NA,-1.17771944748422,1.15647764698042,NA,NA,11,10,NA
"CD001552_pub3_data","4::overall",4,"overall","Symptoms at long-term follow-up: over 3 months","OR_cc","RD",TRUE,0.186982880685533,NA,-1.21033086945623,1.5842966308273,NA,NA,8,8,NA
"CD001552_pub3_data","5::overall",5,"overall","Function at short-term follow-up: 3 months or less","OR_cc","RD",TRUE,0.224725190491252,NA,-1.17106798713447,1.62051836811697,NA,NA,8,8,NA
"CD001552_pub3_data","6::overall",6,"overall","Function at long-term follow-up: over 3 months","OR_cc","RD",TRUE,-0.61088333958068,NA,-2.15652696255477,0.934760283393411,NA,NA,7,7,NA
"CD001552_pub3_data","7::overall",7,"overall","Health-related quality of life at long-term follow-up: over 3 months","OR_cc","RD",TRUE,0.763684355400742,NA,-0.901842603212533,2.42921131401402,NA,NA,5,4,NA
"CD001552_pub3_data","8::overall",8,"overall","Adverse effects","RD","RD",FALSE,0.158897353973835,0.158897353973835,0.037464348860243,0.280330359087427,0.037464348860243,0.280330359087427,3,2,0
"CD001552_pub3_data","9::overall",9,"overall","Need for surgery or secondary surgery at short-term follow-up: 3 months or less","RD","RD",FALSE,-0.0310273841281192,-0.0310273841281192,-0.102458824623128,0.0404040563668897,-0.102458824623128,0.0404040563668897,3,1,0
"CD001703_pub4_data","1::overall",1,"overall","Non-specific low back pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks)","OR_cc","RD",TRUE,-0.0759010176939614,NA,-1.47249278918512,1.32069075379719,NA,NA,8,8,NA
"CD001703_pub4_data","10::overall",10,"overall","Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): TCA","OR_cc","RD",TRUE,0.0252702591347482,NA,-2.76119266339921,2.8117331816687,NA,NA,2,2,NA
"CD001703_pub4_data","13::overall",13,"overall","Non-specific low back pain: HRQoL (EQ-5D, 0 to 1) at short-term follow-up (> 4 to 16 weeks): SNRI","OR_cc","RD",TRUE,-0.424571070614739,NA,-2.03026215477178,1.18112001354231,NA,NA,6,6,NA
"CD001703_pub4_data","14::overall",14,"overall","Non-specific low back pain: HRQoL (SMD) at short-term follow-up (> 4 to 16 weeks): TCA","OR_cc","RD",TRUE,0.0252702591347482,NA,-2.76119266339921,2.8117331816687,NA,NA,2,2,NA
"CD001703_pub4_data","16::overall",16,"overall","Spine-related leg pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks)","OR_cc","RD",TRUE,-0.0107980681440489,NA,-2.29686246663048,2.27526633034238,NA,NA,3,3,NA
"CD001703_pub4_data","17::overall",17,"overall","Spine-related leg pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks)","OR_cc","RD",TRUE,-0.246617665739248,NA,-3.08875869536855,2.59552336389005,NA,NA,2,2,NA
"CD001703_pub4_data","19::overall",19,"overall","Spine-related leg pain: disability (SMD) at immediate-term follow-up (≤ 4 weeks)","OR_cc","RD",TRUE,0,NA,-2.79407720026338,2.79407720026338,NA,NA,2,2,NA
"CD001703_pub4_data","2::overall",2,"overall","Non-specific low back pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks)","OR_cc","RD",TRUE,-0.141586105290874,NA,-1.12760480949793,0.844432598916181,NA,NA,16,16,NA
"CD001703_pub4_data","20::overall",20,"overall","Spine-related leg pain: disability (ODI, 0 to 100) at short-term follow-up (> 4 to 16 weeks)","OR_cc","RD",TRUE,-0.246617665739248,NA,-3.08875869536855,2.59552336389005,NA,NA,2,2,NA
"CD001703_pub4_data","25::overall",25,"overall","Non-specific low back pain and spine-related leg pain: total adverse events","RD","RD",FALSE,0.120216752588105,0.120216752588105,0.0460106499376329,0.194422855238577,0.0460106499376329,0.194422855238577,2,1,0
"CD001703_pub4_data","26::overall",26,"overall","Non-specific low back pain and spine-related leg pain: serious adverse events","RD","RD",FALSE,0.0130106698518262,0.0130106698518262,-0.000245931104084527,0.026267270807737,-0.000245931104084527,0.026267270807737,6,1,0
"CD001703_pub4_data","27::overall",27,"overall","Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events","RD","RD",FALSE,0.0814864334685901,0.0814864334685901,0.0512459033956368,0.111726963541543,0.0512459033956368,0.111726963541543,7,1,0
"CD001703_pub4_data","4::overall",4,"overall","Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): SNRI","OR_cc","RD",TRUE,-0.405456100076724,NA,-2.01163275510169,1.20072055494825,NA,NA,6,6,NA
"CD001703_pub4_data","6::overall",6,"overall","Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): TCA","OR_cc","RD",TRUE,0.0605965330803322,NA,-1.91362912249425,2.03482218865492,NA,NA,4,4,NA
"CD001703_pub4_data","8::overall",8,"overall","Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): SNRI","OR_cc","RD",TRUE,-0.604509964894436,NA,-2.57249897883802,1.36347904904915,NA,NA,4,4,NA
"CD001797_pub4_data","1::overall",1,"overall","Significant improvement in disability within 6 weeks","RD","RD",FALSE,0.231984467682007,0.231984467682007,0.0986724739402592,0.365296461423755,0.0986724739402592,0.365296461423755,2,1,0
"CD001797_pub4_data","10::overall",10,"overall","Frequency of any side effects","RD","RD",FALSE,0.210141204307698,0.210141204307698,-0.00885938138249381,0.42914178999789,-0.00885938138249381,0.42914178999789,1,0,0
"CD001797_pub4_data","2::overall",2,"overall","Significant improvement in disability within 6 weeks; generic inverse variance approach","RD","RD",FALSE,-0.0543609875358603,-0.0543609875358603,-0.249551477417012,0.140829502345292,-0.249551477417012,0.140829502345292,2,2,0
"CD001797_pub4_data","3::overall",3,"overall","Improvement ≥ 1 point on Rankin scale","RD","RD",FALSE,0.195636338194229,0.195636338194229,0.0418776986293676,0.349394977759089,0.0418776986293676,0.349394977759089,3,2,0
"CD001797_pub4_data","4::overall",4,"overall","Change in mean disability score within 6 weeks","OR_cc","RD",TRUE,-0.130190325619318,NA,-1.63329726188988,1.37291661065125,NA,NA,7,7,NA
"CD001797_pub4_data","5::overall",5,"overall","Change in mean disability score within 6 weeks; generic inverse variance approach","OR_cc","RD",TRUE,-0.11403173865092,NA,-2.91636881645461,2.68830533915277,NA,NA,3,3,NA
"CD001797_pub4_data","6::overall",6,"overall","Change in mean disability score on Rankin scale within 6 weeks","OR_cc","RD",TRUE,-0.431027870138676,NA,-1.98124395886584,1.11918821858849,NA,NA,5,4,NA
"CD001797_pub4_data","7::overall",7,"overall","Change in muscle strength (mean Medical Research Council sum score) within 6 weeks","RD","RD",FALSE,0.100613583148766,0.100613583148766,-0.000841264929869509,0.202068431227402,-0.000841264929869509,0.202068431227402,3,2,0
"CD001797_pub4_data","8::overall",8,"overall","Change in mean disability score at 24 weeks or later","OR_cc","RD",TRUE,-0.855974080196383,NA,-2.00629556319364,0.294347402800869,NA,NA,1,1,NA
"CD001797_pub4_data","9::overall",9,"overall","Frequency of serious side effects","RD","RD",FALSE,0.00342872467560969,0.00342872467560969,-0.0494972326426615,0.0563546819938809,-0.0494972326426615,0.0563546819938809,1,0,0
"CD001837_pub4_data","1::overall",1,"overall","Quit at longest follow-up (6 + months)","OR_cc","OR_cc",FALSE,0.355156188282879,0.355156188282879,0.276479961366602,0.433832415199156,0.276479961366602,0.433832415199156,0,0,0
"CD001837_pub4_data","2::overall",2,"overall","Combined (pharmacotherapy + behavioural) support versus no support post-discharge","OR_cc","OR_cc",FALSE,0.239162221334451,0.239162221334451,0.135263294035381,0.343061148633521,0.135263294035381,0.343061148633521,0,0,0
"CD001837_pub4_data","3::overall",3,"overall","Varenicline vs placebo or no varenicline","OR_cc","OR_cc",FALSE,0.329616944722024,0.329616944722024,0.0640237156949082,0.595210173749141,0.0640237156949082,0.595210173749141,0,0,0
"CD001837_pub4_data","4::overall",4,"overall","Combined (pharmacotherapy + behavioural) support vs neither","OR_cc","OR_cc",FALSE,0.248696768275261,0.248696768275261,0.103280511123498,0.394113025427024,0.103280511123498,0.394113025427024,0,0,0
"CD001909_pub4_data","1::overall",1,"overall","≥ 50% reduction in seizure frequency (intention-to-treat analysis)","RD","RD",FALSE,0.0858460018744849,0.0858460018744849,0.0606229530618533,0.111069050687117,0.0606229530618533,0.111069050687117,17,4,0
"CD001909_pub4_data","2::overall",2,"overall","≥ 50% reduction in seizure frequency (worst-case analysis)","RD","RD",FALSE,0.050317448643566,0.050317448643566,0.00717901277241252,0.0934558845147195,0.00717901277241252,0.0934558845147195,6,2,0
"CD001909_pub4_data","3::overall",3,"overall","≥ 50% reduction in seizure frequency (best-case analysis)","RD","RD",FALSE,0.110512598902862,0.110512598902862,0.0395098674415542,0.181515330364169,0.0395098674415542,0.181515330364169,6,0,0
