"review_id","analysis_number","analysis_name","doi","k","effect_type","theta","sigma","tau","R","tau_estimator","R_status"
"CD000547_pub3","3","Fibroid volume (mL) (preoperative)","10.1002/14651858.CD000547.pub3",3,"GIV",0,0.209309108352873,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD000547_pub3","4","Frequency of blood transfusions","10.1002/14651858.CD000547.pub3",8,"logRR",0.419650315557232,0.457444878044472,0.773490092251076,0.31835429299522,"REML_golden_v1","ok"
"CD000547_pub3","5","Haemoglobin (preoperative)","10.1002/14651858.CD000547.pub3",18,"logRR",-0.0501340203347637,0.0512537953206574,6.49714781919335e-06,0.360124020872111,"REML_golden_v1","ok"
"CD000547_pub3","6","Postoperative morbidity (complications)","10.1002/14651858.CD000547.pub3",12,"logRR",-0.54568594382241,0.168948510771738,6.49116716931028e-06,0.76959273227285,"REML_golden_v1","ok"
"CD000547_pub3","7","Total frequency of adverse events","10.1002/14651858.CD000547.pub3",11,"logRR",0.13374361962762,0.221709629533742,0.527298209759938,0.708665531778494,"REML_golden_v1","ok"
"CD000547_pub3","8","Individual adverse events","10.1002/14651858.CD000547.pub3",12,"logRR",0.705809035993814,0.271585357694974,0.791795041734804,0.807485238617411,"REML_golden_v1","ok"
"CD000547_pub3","9","Proportion undergoing vaginal rather than abdominal procedure","10.1002/14651858.CD000547.pub3",4,"logRR",0.990884639713642,0.454727223337113,0.719581751519786,0.67216042774666,"REML_golden_v1","ok"
"CD000547_pub3","10","Proportion with vertical incision","10.1002/14651858.CD000547.pub3",10,"logRR",0.38213427247575,0.356175681152848,0.996251771005589,0.713804092682009,"REML_golden_v1","ok"
"CD000547_pub3","11","Duration of hospital stay (days)","10.1002/14651858.CD000547.pub3",4,"logRR",0.00489556435187898,0.993903726245696,5.9461078690558e-06,0.496358649689843,"REML_golden_v1","ok"
"CD000547_pub3","13","Postoperative haemoglobin","10.1002/14651858.CD000547.pub3",4,"logRR",0.0197539926086562,0.992280071627236,6.17786259895124e-06,0.982050712325939,"REML_golden_v1","ok"
"CD001155_pub3","1","Clinical vertebral fractures","10.1002/14651858.CD001155.pub3",35,"logRR",-0.36350280049296,0.123861303224644,0.249553871424061,0.748496442096644,"REML_golden_v1","ok"
"CD001155_pub3","2","Non-vertebral fractures","10.1002/14651858.CD001155.pub3",69,"logRR",-0.107011731226152,0.0691099851028399,0.166503829387629,0.865023914185961,"REML_golden_v1","ok"
"CD001155_pub3","3","Hip fractures","10.1002/14651858.CD001155.pub3",17,"logRR",-0.446309545548818,0.18543200272701,5.70878055814104e-06,0.744106256487694,"REML_golden_v1","ok"
"CD001155_pub3","4","Wrist fractures","10.1002/14651858.CD001155.pub3",15,"logRR",-0.287528475306062,0.183738724494625,0.320599695874185,0.606060570407855,"REML_golden_v1","ok"
"CD001155_pub3","5","Radiographic vertebral fractures","10.1002/14651858.CD001155.pub3",11,"logRR",-0.222982621769727,0.184293145538144,0.391289043343396,0.639500794170695,"REML_golden_v1","ok"
"CD001155_pub3","6","Withdrawals due to adverse events","10.1002/14651858.CD001155.pub3",36,"logRR",-0.0121163009726581,0.0541089849651749,6.321005258713e-06,0.378892506874771,"REML_golden_v1","ok"
"CD001155_pub3","7","Serious adverse events","10.1002/14651858.CD001155.pub3",17,"logRR",-0.0640658464880101,0.0634490698387775,6.91854916531591e-06,0.701856187092352,"REML_golden_v1","ok"
"CD001155_pub3","8","Gastrointestinal adverse events","10.1002/14651858.CD001155.pub3",21,"logRR",0.0115365702974752,0.0243823914270351,6.92055664065911e-06,0.86864861409506,"REML_golden_v1","ok"
"CD001155_pub3","9","Atypical femoral fracture","10.1002/14651858.CD001155.pub3",9,"logRR",-0.00937036049192853,0.664609583739235,7.05457944706466e-06,0.93784532026691,"REML_golden_v1","ok"
"CD001321_pub7","1","Symptomatic UTI: culture-verified UTI","10.1002/14651858.CD001321.pub7",33,"logRR",-0.349112301946788,0.0842002347291528,0.34323448557542,0.453143256340327,"REML_golden_v1","ok"
"CD001321_pub7","2","Clinical UTI: symptoms, no culture","10.1002/14651858.CD001321.pub7",21,"logRR",-0.296664837711745,0.115686656465862,0.382171828600505,0.609164659658731,"REML_golden_v1","ok"
"CD001321_pub7","3","Microbiological UTI: positive culture without known symptoms","10.1002/14651858.CD001321.pub7",6,"logRR",-0.0453303126762579,0.105387009924085,0.0794714160598538,0.729551193283484,"REML_golden_v1","ok"
"CD001321_pub7","4","Death","10.1002/14651858.CD001321.pub7",4,"logRR",0.0642882537314893,0.0914467531505049,6.40395876190562e-06,0.808267400850646,"REML_golden_v1","ok"
"CD001321_pub7","5","Gastrointestinal adverse events","10.1002/14651858.CD001321.pub7",10,"logRR",0.282785642703644,0.149856971482819,0.0493377112779809,0.668484377829932,"REML_golden_v1","ok"
"CD001396_pub4","1","Self-rated overall premenstrual symptoms","10.1002/14651858.CD001396.pub4",2,"GIV",0,0.363047826069797,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001396_pub4","2","Nausea","10.1002/14651858.CD001396.pub4",24,"logRR",0.843282293036817,0.103422955965835,0.153365123833947,0.691682426557817,"REML_golden_v1","ok"
"CD001396_pub4","3","Insomnia or sleep disturbance","10.1002/14651858.CD001396.pub4",18,"logRR",0.51468441928899,0.159280065076665,6.92448860110756e-06,0.770171819899403,"REML_golden_v1","ok"
"CD001396_pub4","4","Sexual dysfunction or decreased libido","10.1002/14651858.CD001396.pub4",14,"logRR",0.807143742071009,0.240138197831667,7.02333747363492e-06,0.833298391283537,"REML_golden_v1","ok"
"CD001396_pub4","5","Fatigue or sedation","10.1002/14651858.CD001396.pub4",10,"logRR",0.306546745280036,0.207307329031512,0.211465017464626,0.75194517149601,"REML_golden_v1","ok"
"CD001396_pub4","6","Dizziness or vertigo","10.1002/14651858.CD001396.pub4",13,"logRR",0.556057380136351,0.226282489804201,6.08465987678327e-06,0.868915401446317,"REML_golden_v1","ok"
"CD001396_pub4","7","Tremor","10.1002/14651858.CD001396.pub4",4,"logRR",1.09925711706297,0.683102906652036,5.9051123838427e-06,0.895727418410964,"REML_golden_v1","ok"
"CD001396_pub4","8","Somnolence/decreased concentration","10.1002/14651858.CD001396.pub4",8,"logRR",1.17369953585528,0.397947445633719,0.615525258816149,0.63754945620157,"REML_golden_v1","ok"
"CD001396_pub4","9","Sweating","10.1002/14651858.CD001396.pub4",10,"logRR",0.489632488735317,0.298245438497125,0.328384171725957,0.654373044861592,"REML_golden_v1","ok"
"CD001396_pub4","10","Dry mouth","10.1002/14651858.CD001396.pub4",11,"logRR",0.874725122937203,0.229798793042909,5.58581061664956e-06,0.872185422962461,"REML_golden_v1","ok"
"CD001396_pub4","11","Asthenia/decreased energy","10.1002/14651858.CD001396.pub4",7,"logRR",0.958591762535343,0.281617205659585,6.35865804217364e-06,0.703167922839349,"REML_golden_v1","ok"
"CD001396_pub4","12","Diarrhoea","10.1002/14651858.CD001396.pub4",12,"logRR",0.589763914646763,0.211046159228156,6.27282546470236e-06,0.811389211814564,"REML_golden_v1","ok"
"CD001396_pub4","13","Constipation","10.1002/14651858.CD001396.pub4",7,"logRR",1.13493014157185,0.447434126222945,6.91872512454085e-06,0.819826152877802,"REML_golden_v1","ok"
"CD001396_pub4","14","Withdrawal due to adverse effects","10.1002/14651858.CD001396.pub4",16,"logRR",0.157397474967979,0.164036374972354,0.0805462872406809,0.780928768643229,"REML_golden_v1","ok"
"CD001396_pub4","15","Psychological symptoms","10.1002/14651858.CD001396.pub4",6,"logRR",-0.238776319208739,0.813050519569385,5.89577836596564e-06,0.948240778023982,"REML_golden_v1","ok"
"CD001396_pub4","16","Physical symptoms","10.1002/14651858.CD001396.pub4",6,"logRR",-0.113223474003535,0.811213014720208,6.95228614856737e-06,0.944493287810466,"REML_golden_v1","ok"
"CD001396_pub4","17","Functional symptoms","10.1002/14651858.CD001396.pub4",2,"logRR",-0.330181572257667,1.40754812540249,6.50961091884296e-06,0.999999999999993,"REML_golden_v1","ok"
"CD001396_pub4","18","Irritability","10.1002/14651858.CD001396.pub4",6,"logRR",-0.131424876136749,0.810017500498388,5.74480531060443e-06,0.940892567567926,"REML_golden_v1","ok"
"CD001396_pub4","19","Response rates","10.1002/14651858.CD001396.pub4",21,"logRR",0.435107246402247,0.0560222446539393,0.121468516018843,0.705764326335802,"REML_golden_v1","ok"
"CD001396_pub4","20","Withdrawal for any reason","10.1002/14651858.CD001396.pub4",15,"logRR",-0.0261678237732219,0.0934167757707912,6.68690482091496e-06,0.386570716094438,"REML_golden_v1","ok"
"CD001431_pub6","1","Informed values-choice congruence - all studies","10.1002/14651858.CD001431.pub6",9,"GIV",0,0.0701637003918633,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001431_pub6","2","Informed values-choice congruence - without studies of high risk of bias","10.1002/14651858.CD001431.pub6",161,"logRR",0.258831558875553,0.0699488819358479,0.507328688720845,0.443045099291688,"REML_golden_v1","ok"
"CD001431_pub6","3","Informed values-choice congruence - old vs new studies","10.1002/14651858.CD001431.pub6",167,"logRR",0.273191567904696,0.0943216610501533,0.673357287951594,0.817414809000633,"REML_golden_v1","ok"
"CD001431_pub6","4","Informed values-chose congruence - using MMIC","10.1002/14651858.CD001431.pub6",13,"GIV",0,0.0279051833393419,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001431_pub6","5","Informed values-chose congruence - using non-MMIC measures","10.1002/14651858.CD001431.pub6",8,"GIV",0,0.0619761518651087,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001431_pub6","6","Unclear values - old vs new studies","10.1002/14651858.CD001431.pub6",58,"logRR",0.216806155731345,0.193128137321081,6.88694335542681e-06,0.827799470047293,"REML_golden_v1","ok"
"CD001533_pub7","1","Number with frequent relapses by 12 to 24 months","10.1002/14651858.CD001533.pub7",35,"logRR",-0.155147642885866,0.0645707001143812,0.22467886695318,0.574879878818947,"REML_golden_v1","ok"
"CD001533_pub7","2","Number relapsing by 12 to 24 months","10.1002/14651858.CD001533.pub7",12,"GIV",0,0.0416440022459738,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001533_pub7","3","Number with frequent relapses by 12 to 24 months: stratified by risk of selection bias","10.1002/14651858.CD001533.pub7",25,"logRR",-0.208880076005871,0.0974099759626852,0.273595602251251,0.644489398840994,"REML_golden_v1","ok"
"CD001533_pub7","4","Number relapsing by 12 to 24 months: stratified by risk of selection bias","10.1002/14651858.CD001533.pub7",22,"logRR",-0.307801887083444,0.0814640834807437,0.292009466133783,0.544772962717854,"REML_golden_v1","ok"
"CD001533_pub7","5","Adverse events","10.1002/14651858.CD001533.pub7",17,"logRR",-0.00621688627699938,0.121517801546651,0.185042574462875,0.351357942709853,"REML_golden_v1","ok"
"CD001552_pub3","1","Clinical improvement at short-term follow-up: 3 months or less","10.1002/14651858.CD001552.pub3",8,"logRR",0.0445850907236411,0.159548065280226,0.344249630071836,0.7443010271618,"REML_golden_v1","ok"
"CD001552_pub3","2","Clinical improvement at long-term follow-up: over 3 months","10.1002/14651858.CD001552.pub3",11,"logRR",0.407691462321297,0.198129450420206,0.43146604870115,0.708463874598356,"REML_golden_v1","ok"
"CD001552_pub3","3","Symptoms at short-term follow-up: 3 months or less","10.1002/14651858.CD001552.pub3",9,"logRR",-0.0857546010171176,0.642987463130621,6.13186260166677e-06,0.433603149454758,"REML_golden_v1","ok"
"CD001552_pub3","4","Symptoms at long-term follow-up: over 3 months","10.1002/14651858.CD001552.pub3",7,"logRR",0.113066708724536,0.750558465405587,5.62072717613801e-06,0.937139891914786,"REML_golden_v1","ok"
"CD001552_pub3","5","Function at short-term follow-up: 3 months or less","10.1002/14651858.CD001552.pub3",6,"logRR",0.172485700706187,0.811566439173556,5.70107611292229e-06,0.937182183145103,"REML_golden_v1","ok"
"CD001552_pub3","6","Function at long-term follow-up: over 3 months","10.1002/14651858.CD001552.pub3",7,"logRR",-0.715744682250659,0.794876749374257,0.946901353107481,0.321891332950197,"REML_golden_v1","ok"
"CD001552_pub3","7","Health-related quality of life at long-term follow-up: over 3 months","10.1002/14651858.CD001552.pub3",5,"logRR",0.748271058919572,0.831230098676833,6.48281348271742e-06,0.706147825247028,"REML_golden_v1","ok"
"CD001552_pub3","8","Adverse effects","10.1002/14651858.CD001552.pub3",4,"logRR",0.26746647781468,0.126510366113558,7.05779261148052e-06,0.227157261165081,"REML_golden_v1","ok"
"CD001552_pub3","9","Need for surgery or secondary surgery at short-term follow-up: 3 months or less","10.1002/14651858.CD001552.pub3",4,"logRR",-0.362633391800704,0.752431648001761,0.44247489453433,0.34122905158163,"REML_golden_v1","ok"
"CD001552_pub3","10","Need for surgery or secondary surgery at long-term follow-up: over 3 months","10.1002/14651858.CD001552.pub3",2,"GIV",0,0.833766715812262,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","1","Non-specific low back pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks)","10.1002/14651858.CD001703.pub4",4,"GIV",0,1.01229123376091,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","2","Non-specific low back pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks)","10.1002/14651858.CD001703.pub4",7,"GIV",0,1.01760328524258,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","4","Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): SNRI","10.1002/14651858.CD001703.pub4",4,"GIV",0,0.228061677764474,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","6","Non-specific low back pain: disability (RMDQ, 0 to 24) at short-term follow-up (> 4 to 16 weeks): TCA","10.1002/14651858.CD001703.pub4",2,"GIV",0,0.554761124258319,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","8","Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): SNRI","10.1002/14651858.CD001703.pub4",2,"logRR",-0.48879404055125,1.40957381691714,6.39934921454737e-06,0.999999999999996,"REML_golden_v1","ok"
"CD001703_pub4","10","Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): TCA","10.1002/14651858.CD001703.pub4",2,"GIV",0,0.693722201843033,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","13","Non-specific low back pain: HRQoL (EQ-5D, 0 to 1) at short-term follow-up (> 4 to 16 weeks): SNRI","10.1002/14651858.CD001703.pub4",4,"GIV",0,0.0115006142275904,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","14","Non-specific low back pain: HRQoL (SMD) at short-term follow-up (> 4 to 16 weeks): TCA","10.1002/14651858.CD001703.pub4",2,"GIV",0,0.147611369911792,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","16","Spine-related leg pain: pain intensity (0 to 100) at immediate-term follow-up (≤ 4 weeks)","10.1002/14651858.CD001703.pub4",3,"GIV",0,2.76421899275355,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","17","Spine-related leg pain: pain intensity (0 to 100) at short-term follow-up (> 4 to 16 weeks)","10.1002/14651858.CD001703.pub4",2,"logRR",-0.243045216776365,1.37854708797638,5.6347419225771e-06,0.999999999999975,"REML_golden_v1","ok"
"CD001703_pub4","19","Spine-related leg pain: disability (SMD) at immediate-term follow-up (≤ 4 weeks)","10.1002/14651858.CD001703.pub4",2,"logRR",0,1.40294185149809,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","20","Spine-related leg pain: disability (ODI, 0 to 100) at short-term follow-up (> 4 to 16 weeks)","10.1002/14651858.CD001703.pub4",2,"logRR",-0.243045216776365,1.37854708797638,5.6347419225771e-06,0.999999999999975,"REML_golden_v1","ok"
"CD001703_pub4","25","Non-specific low back pain and spine-related leg pain: total adverse events","10.1002/14651858.CD001703.pub4",3,"GIV",0,0.0737685349149017,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","26","Non-specific low back pain and spine-related leg pain: serious adverse events","10.1002/14651858.CD001703.pub4",2,"GIV",0,0.58785351104188,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001703_pub4","27","Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events","10.1002/14651858.CD001703.pub4",6,"GIV",0,0.283953032854901,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001797_pub4","1","Significant improvement in disability within 6 weeks","10.1002/14651858.CD001797.pub4",8,"logRR",0.610658954092723,0.236075302131047,0.386493495905701,0.725414608871677,"REML_golden_v1","ok"
"CD001797_pub4","2","Significant improvement in disability within 6 weeks; generic inverse variance approach","10.1002/14651858.CD001797.pub4",2,"GIV",1.25925040704927,0.410281774839884,5.79190725219263e-06,0.999999999994283,"REML_golden_v1","ok"
"CD001797_pub4","3","Improvement ≥ 1 point on Rankin scale","10.1002/14651858.CD001797.pub4",5,"logRR",0.666989529407009,0.445963691785413,0.125395830234111,0.666061061825198,"REML_golden_v1","ok"
"CD001797_pub4","4","Change in mean disability score within 6 weeks","10.1002/14651858.CD001797.pub4",2,"GIV",0,0.142220770902115,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001797_pub4","5","Change in mean disability score within 6 weeks; generic inverse variance approach","10.1002/14651858.CD001797.pub4",2,"logRR",-0.111666811241139,1.39880850978369,7.00377908945948e-06,1,"REML_golden_v1","ok"
"CD001797_pub4","6","Change in mean disability score on Rankin scale within 6 weeks","10.1002/14651858.CD001797.pub4",3,"GIV",0,0.108291914603549,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001797_pub4","7","Change in muscle strength (mean Medical Research Council sum score) within 6 weeks","10.1002/14651858.CD001797.pub4",4,"logRR",0.403781885161089,0.266321544735181,6.03496838683534e-06,0.695284682161801,"REML_golden_v1","ok"
"CD001797_pub4","8","Change in mean disability score at 24 weeks or later","10.1002/14651858.CD001797.pub4",2,"logRR",-0.408143462774676,0.270808221827401,6.08025709008558e-06,0.999999999993382,"REML_golden_v1","ok"
"CD001797_pub4","9","Frequency of serious side effects","10.1002/14651858.CD001797.pub4",3,"logRR",-0.222712834911143,0.430790420785695,6.06958287059485e-06,0.311624991392452,"REML_golden_v1","ok"
"CD001797_pub4","10","Frequency of any side effects","10.1002/14651858.CD001797.pub4",3,"logRR",0.831631309615225,0.34757374942319,0.427400332387063,0.637970187016132,"REML_golden_v1","ok"
"CD001837_pub4","1","Quit at longest follow-up (6 + months)","10.1002/14651858.CD001837.pub4",65,"logRR",0.227935203034605,0.0339160857730326,0.157170380134055,0.776675313343137,"REML_golden_v1","ok"
"CD001837_pub4","2","Combined (pharmacotherapy + behavioural) support versus no support post-discharge","10.1002/14651858.CD001837.pub4",18,"logRR",0.166203548646032,0.0540376862653444,0.0593003484399629,0.798708167410677,"REML_golden_v1","ok"
"CD001837_pub4","3","Varenicline vs placebo or no varenicline","10.1002/14651858.CD001837.pub4",7,"logRR",0.217623425222322,0.105073811829089,0.113172139439394,0.708223442569913,"REML_golden_v1","ok"
"CD001837_pub4","4","Combined (pharmacotherapy + behavioural) support vs neither","10.1002/14651858.CD001837.pub4",7,"logRR",0.204108761023525,0.0605810863193809,6.2545522444881e-06,0.737966923292249,"REML_golden_v1","ok"
"CD001909_pub4","1","≥ 50% reduction in seizure frequency (intention-to-treat analysis)","10.1002/14651858.CD001909.pub4",14,"logRR",0.382484743100802,0.172897775244642,0.414880555264708,0.738320665737688,"REML_golden_v1","ok"
"CD001909_pub4","2","≥ 50% reduction in seizure frequency (worst-case analysis)","10.1002/14651858.CD001909.pub4",13,"logRR",0.0723122717939087,0.159537155777242,0.32984935213242,0.37255474370244,"REML_golden_v1","ok"
"CD001909_pub4","3","≥ 50% reduction in seizure frequency (best-case analysis)","10.1002/14651858.CD001909.pub4",13,"logRR",0.952885670085966,0.126838362877268,0.200541821483335,0.772809944228087,"REML_golden_v1","ok"
"CD001909_pub4","4","Nausea","10.1002/14651858.CD001909.pub4",12,"logRR",0.547040885307962,0.155337702245244,6.27623151977763e-06,0.716095919458129,"REML_golden_v1","ok"
"CD001909_pub4","5","Somnolence","10.1002/14651858.CD001909.pub4",13,"logRR",0.317429324872065,0.146218547503209,6.52277055682117e-06,0.805016910550611,"REML_golden_v1","ok"
"CD001909_pub4","6","Diplopia","10.1002/14651858.CD001909.pub4",3,"logRR",1.31199976436152,0.222024564464178,6.4904255127259e-06,0.582230192206432,"REML_golden_v1","ok"
"CD001909_pub4","7","Headache","10.1002/14651858.CD001909.pub4",5,"logRR",0.113655161866247,0.0971117685324356,6.42286060807591e-06,0.778546505123256,"REML_golden_v1","ok"
"CD001920_pub4","1","Independence in ADL scales","10.1002/14651858.CD001920.pub4",105,"GIV",0,0.0222780077336655,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","2","Motor function scales","10.1002/14651858.CD001920.pub4",115,"GIV",0,0.0212549249267589,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","3","Balance (Berg Balance Scale)","10.1002/14651858.CD001920.pub4",111,"GIV",0,0.0240669209401478,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","4","Gait velocity","10.1002/14651858.CD001920.pub4",125,"GIV",0,0.0218900729683114,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","5","Length of stay","10.1002/14651858.CD001920.pub4",82,"GIV",0,0.0257979801640926,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","6","Adverse events","10.1002/14651858.CD001920.pub4",110,"GIV",0,0.0221642376097955,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","7","Neurophysiological approaches compared to other: Independence in ADL scales","10.1002/14651858.CD001920.pub4",81,"GIV",0,0.0248966025280844,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","8","Neurophysiological approaches compared to other: Motor function scales","10.1002/14651858.CD001920.pub4",13,"GIV",0,0.088799043667684,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","9","Neurophysiological approaches compared to other: Balance (Berg Balance Scale)","10.1002/14651858.CD001920.pub4",7,"GIV",0,0.139658710514368,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD001920_pub4","10","Neurophysiological approaches compared to other approaches: Gait velocity","10.1002/14651858.CD001920.pub4",15,"GIV",0,0.0917380164949475,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD002042_pub6","1","Participants exposed to blood transfusion (all trials)","10.1002/14651858.CD002042.pub6",57,"logRR",-0.537090196205054,0.0548468297322577,0.389222603551314,0.478247518275441,"REML_golden_v1","ok"
"CD002042_pub6","2","Participants exposed to blood transfusion by clinical specialties","10.1002/14651858.CD002042.pub6",57,"logRR",-0.554084347614306,0.0587264440967955,0.418061546860001,0.452488021192838,"REML_golden_v1","ok"
"CD002042_pub6","3","Participants exposed to blood transfusion by threshold difference","10.1002/14651858.CD002042.pub6",42,"logRR",-0.537237802249931,0.0680607101853725,0.419248516391194,0.517301718010798,"REML_golden_v1","ok"
"CD002042_pub6","4","Participants exposed to blood transfusion by restrictive threshold","10.1002/14651858.CD002042.pub6",48,"logRR",-0.547423525761176,0.0716283691221462,0.443331777135607,0.464956832601295,"REML_golden_v1","ok"
"CD002042_pub6","5","Units of blood transfused","10.1002/14651858.CD002042.pub6",7,"logRR",0.333163746162319,0.348291063889369,6.34908270159124e-06,0.331496319554713,"REML_golden_v1","ok"
