"review_id","dataset","analysis_key","analysis_name","analysis_group","analysis_number","subgroup","effect_class","outcome_type","k","yi","se","tau2","mean_year","mean_ctrl_risk","mean_total_n"
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Arthralgia","Individual adverse events",1,8,"Arthralgia","or","binary",2,0.21181757745805,0.414011942729095,0,1995.5,0.0408163265306122,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Asthenia","Individual adverse events",1,8,"Asthenia","or","binary",3,-0.11182615827112,0.347826428374448,0.0694713224526872,1999.33333333333,0.0782312925170068,205
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Breast pain/tenderness","Individual adverse events",1,8,"Breast pain/tenderness","or","binary",2,-0.319978791697643,0.362702609526924,0,1995.5,0.0714285714285714,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Change in breast size","Individual adverse events",1,8,"Change in breast size","or","binary",2,2.19404654718099,0.789073476122002,0,1995,0.0147058823529412,130.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Change in libido","Individual adverse events",1,8,"Change in libido","or","binary",3,0.632830498830158,0.462794078333536,0.0503779821816269,1994.66666666667,0.10239651416122,110.666666666667
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Depression","Individual adverse events",1,8,"Depression","or","binary",2,0.697668547940075,0.440589494838638,0,1995.5,0.0306122448979592,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Dizziness","Individual adverse events",1,8,"Dizziness","or","binary",2,0.813800542980429,0.371461358563213,0,1995.5,0.0459183673469388,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Headache","Individual adverse events",1,8,"Headache","or","binary",6,0.457896084207018,0.212701248244108,0.0604942630500979,1998.16666666667,0.175132275132275,146.166666666667
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Hot flushes","Individual adverse events",1,8,"Hot flushes","or","binary",6,1.95763097937207,0.214214866986778,0.0683353748348936,1998.16666666667,0.156385331910542,146.166666666667
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Nausea","Individual adverse events",1,8,"Nausea","or","binary",2,0.843026924521858,1.37705828687422,2.90688543093298,1995.5,0.076530612244898,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Pain","Individual adverse events",1,8,"Pain","or","binary",2,-0.46151029030154,0.288538424254936,0,1995.5,0.127551020408163,252.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Skin changes","Individual adverse events",1,8,"Skin changes","or","binary",2,0.203727791458932,0.453232772197581,0,1995,0.0555222088835534,130.5
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Sweating","Individual adverse events",1,8,"Sweating","or","binary",4,2.4673213562127,0.39464875280727,0,2000,0.028141256502601,124.25
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Vaginitis","Individual adverse events",1,8,"Vaginitis","or","binary",5,1.19930515600858,0.362244858653539,2.04149785017554e-07,1997.2,0.0359410430839002,150.2
"CD000547","CD000547_pub3_data","2|1|Duration of surgery (minutes)|GnRHa vs no pretreatment","Duration of surgery (minutes)",2,1,"GnRHa vs no pretreatment","or","binary",4,0.199243683025891,1.00857725802504,0,1998.5,0,80.25
"CD000547","CD000547_pub3_data","2|1|Duration of surgery (minutes)|GnRHa vs placebo","Duration of surgery (minutes)",2,1,"GnRHa vs placebo","or","binary",2,0.0456876374411893,1.4192131987706,0,1996,0,148
"CD000547","CD000547_pub3_data","2|10|Proportion with vertical incision|GnRHa vs no pretreatment","Proportion with vertical incision",2,10,"GnRHa vs no pretreatment","or","binary",2,-1.10102040082433,0.300970389448435,0,1995.5,0.541265675123943,150.5
"CD000547","CD000547_pub3_data","2|10|Proportion with vertical incision|GnRHa vs placebo","Proportion with vertical incision",2,10,"GnRHa vs placebo","or","binary",2,-0.977819174177471,0.362130812959664,0,1995,0.359658678286129,114
"CD000547","CD000547_pub3_data","2|11|Duration of hospital stay (days)|GnRHa vs no pretreatment","Duration of hospital stay (days)",2,11,"GnRHa vs no pretreatment","or","binary",3,0.0161892196442233,1.16139773268955,0,1998.33333333333,0,91.6666666666667
"CD000547","CD000547_pub3_data","2|13|Postoperative haemoglobin|GnRHa vs no pretreatment","Postoperative haemoglobin",2,13,"GnRHa vs no pretreatment","or","binary",2,0.0243359719707703,1.42394221139051,0,1996,0,86.5
"CD000547","CD000547_pub3_data","2|3|Intraoperative blood loss (mL)|GnRHa vs no pretreatment","Intraoperative blood loss (mL)",2,3,"GnRHa vs no pretreatment","or","binary",4,0.14347207695168,1.0135755634801,0,1995,0,64.5
"CD000547","CD000547_pub3_data","2|5|Frequency of blood transfusions|GnRHa vs no pretreatment","Frequency of blood transfusions",2,5,"GnRHa vs no pretreatment","or","binary",5,-0.623599740325943,0.375452173112557,0,1997,0.0859035112760491,97.4
"CD000547","CD000547_pub3_data","2|6|Postoperative morbidity (complications)|GnRHa vs no treatment","Postoperative morbidity (complications)",2,6,"GnRHa vs no treatment","or","binary",5,-0.502267137340173,0.328316775859944,0.172831000250226,1998.4,0.223275822406257,101.4
"CD000547","CD000547_pub3_data","2|6|Postoperative morbidity (complications)|GnRHa vs placebo","Postoperative morbidity (complications)",2,6,"GnRHa vs placebo","or","binary",2,-0.732293323876017,0.418998380336936,0.080370890117332,1995,0.238295318127251,132.5
"CD000547","CD000547_pub3_data","2|8|Proportion with difficult surgery|GnRH vs no pretreatment","Proportion with difficult surgery",2,8,"GnRH vs no pretreatment","or","binary",2,-0.118705277063985,0.24542624335586,0,1997,0.247468527640941,173.5
"CD000547","CD000547_pub3_data","2|8|Proportion with difficult surgery|GnRH vs placebo","Proportion with difficult surgery",2,8,"GnRH vs placebo","or","binary",3,-0.508433944405534,0.231530077339785,0,1995.33333333333,0.484358518646958,121.666666666667
"CD000547","CD000547_pub3_data","2|9|Proportion undergoing vaginal rather than abdominal procedure|GnRHa vs no treatment","Proportion undergoing vaginal rather than abdominal procedure",2,9,"GnRHa vs no treatment","or","binary",2,2.40761550463885,0.693816587692335,0.721463969157418,1996,0.146031746031746,106.5
"CD000547","CD000547_pub3_data","3|1|Duration of surgery (minutes)|GnRHa vs no pretreatment","Duration of surgery (minutes)",3,1,"GnRHa vs no pretreatment","or","binary",6,-0.00156377775591525,0.823990616641131,0,2002.83333333333,0,70.8333333333333
"CD000547","CD000547_pub3_data","3|3|Intraoperative blood loss (mL)|GnRHa vs no pretreatment","Intraoperative blood loss (mL)",3,3,"GnRHa vs no pretreatment","or","binary",10,-0.0283219291057138,0.641417143492852,0,1998.9,0,53.1
"CD000547","CD000547_pub3_data","3|4|Frequency of blood transfusions|GnRHa vs no pretreatment","Frequency of blood transfusions",3,4,"GnRHa vs no pretreatment","or","binary",3,-0.216964668624516,0.688370337252858,0,1992.66666666667,0.240740740740741,34.3333333333333
"CD000547","CD000547_pub3_data","3|5|Postoperative morbidity (complications)|GnRHa vs no pretreatment","Postoperative morbidity (complications)",3,5,"GnRHa vs no pretreatment","or","binary",4,0.209992112512261,0.496939499905426,0,1994.5,0.173611111111111,43
"CD000547","CD000547_pub3_data","3|7|Duration of hospital stay (days)|GnRHa vs no pretreatment","Duration of hospital stay (days)",3,7,"GnRHa vs no pretreatment","or","binary",3,-0.145750720954311,1.1616469338115,0,2007.66666666667,0,90.6666666666667
"CD000547","CD000547_pub3_data","4|1|Duration of surgery (minutes)|","Duration of surgery (minutes)",4,1,"","or","binary",2,-0.0248425308580532,1.42712793136386,0,2013.5,0,61.5
"CD000547","CD000547_pub3_data","5|10|Adverse events|Abdominal or pelvic pain","Adverse events",5,10,"Abdominal or pelvic pain","or","binary",3,0.447476442012109,0.309901040476773,5.06208387060241e-06,2008.66666666667,0.176666666666667,127.666666666667
"CD000547","CD000547_pub3_data","5|10|Adverse events|Cutaneous disorder","Adverse events",5,10,"Cutaneous disorder","or","binary",2,0.377985530610396,0.514593278883982,0,2006,0.0559782608695652,178.5
"CD000547","CD000547_pub3_data","5|10|Adverse events|Headache","Adverse events",5,10,"Headache","or","binary",5,0.911452321142022,0.668170752708209,1.56245997767176,2009.2,0.138356821589205,98.6
"CD000547","CD000547_pub3_data","5|10|Adverse events|Hot flushes","Adverse events",5,10,"Hot flushes","or","binary",6,2.05723712773225,0.470407138964599,0.696490463585942,2006.66666666667,0.181284357821089,84.5
"CD000547","CD000547_pub3_data","5|10|Adverse events|Mood disorder or anxiety","Adverse events",5,10,"Mood disorder or anxiety","or","binary",2,1.43602318379431,2.4641051839695,10.4976365731341,2003.5,0.0434782608695652,53
"CD000547","CD000547_pub3_data","5|10|Adverse events|Nausea","Adverse events",5,10,"Nausea","or","binary",3,-0.88832070875773,0.699394914410874,0.740740411135964,2006.33333333333,0.172971014492754,135.666666666667
"CD000547","CD000547_pub3_data","5|10|Adverse events|Procedural pain","Adverse events",5,10,"Procedural pain","or","binary",2,0.138516292984244,0.838877377157654,0.734570416817497,2009.5,0.06,166.5
"CD000547","CD000547_pub3_data","5|10|Adverse events|Vaginal dryness","Adverse events",5,10,"Vaginal dryness","or","binary",3,3.46365728388434,1.36392354561865,3.07991889658399,2000.33333333333,0,40
"CD000547","CD000547_pub3_data","5|2|Fibroid volume|GnRHa vs cabergoline","Fibroid volume",5,2,"GnRHa vs cabergoline","reported","reported",2,0,9.50609006502429,0,2008,0,55
"CD000547","CD000547_pub3_data","5|4|Haemoglobin at end of preoperative treatment|","Haemoglobin at end of preoperative treatment",5,4,"","or","binary",2,0.083038651338569,1.42249314520218,0,2016,0,121
"CD000547","CD000547_pub3_data","6|3|Haemoglobin (g/dL)|Comparator was mifepristone","Haemoglobin (g/dL)",6,3,"Comparator was mifepristone","reported","reported",2,0,0.50271089996986,0,2015,0,77
"CD000547","CD000547_pub3_data","6|6|Serious adverse events|Hyperplasia","Serious adverse events",6,6,"Hyperplasia","or","binary",2,-0.959946396749537,1.56935305077011,2.15149024439573,2010,0.0104166666666667,131.5
"CD000547","CD000547_pub3_data","6|6|Serious adverse events|Menometrorrhagia","Serious adverse events",6,6,"Menometrorrhagia","or","binary",2,-0.725060767019265,1.49220594320003,2.69542852275028,2016.5,0.0184811827956989,182.5
"CD000547","CD000547_pub3_data","6|6|Serious adverse events|Uterine haemorrhage","Serious adverse events",6,6,"Uterine haemorrhage","or","binary",2,-1.43911913880586,2.03007949376709,5.87769112351364,2010,0.2,137
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Abdominal pain","Other adverse events",6,7,"Abdominal pain","or","binary",4,0.533598858882924,0.536824076715623,0.265903692279924,2012.5,0.0434811827956989,107
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Breast pain or tenderness","Other adverse events",6,7,"Breast pain or tenderness","or","binary",3,0.659357161771627,0.767346937572263,0,2013.66666666667,0.0333333333333333,132.666666666667
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Constipation","Other adverse events",6,7,"Constipation","or","binary",2,-0.598145628105881,0.685219457849763,0,2010,0.110416666666667,137
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Diarrhoea","Other adverse events",6,7,"Diarrhoea","or","binary",3,0.505936079663712,0.936973555689784,0,2012.66666666667,0.0053763440860215,62.3333333333333
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Dizziness","Other adverse events",6,7,"Dizziness","or","binary",2,0.62810764998625,0.859277316177242,0,2016.5,0.00806451612903226,182.5
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Fatigue","Other adverse events",6,7,"Fatigue","or","binary",2,0.277241015198105,0.611194044476634,0,2015,0.109879032258065,77
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Headache","Other adverse events",6,7,"Headache","or","binary",4,-0.456256859018037,0.665695282781055,0.869654498344446,2012.5,0.249731182795699,107
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Lower back pain","Other adverse events",6,7,"Lower back pain","or","binary",2,0.201845938012849,0.698122105382831,0,2008.5,0.13125,31.5
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Micturition problem","Other adverse events",6,7,"Micturition problem","or","binary",2,0.423905372292625,0.890594020058906,0,2008.5,0.05,31.5
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Nasopharyngitis","Other adverse events",6,7,"Nasopharyngitis","or","binary",2,-0.79560779993543,0.757159082841707,0.148016425798541,2010,0.25,137
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Nausea","Other adverse events",6,7,"Nausea","or","binary",3,0.538338414167082,0.564288553711198,0,2012.66666666667,0.0928763440860215,62.3333333333333
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Vaginal infections","Other adverse events",6,7,"Vaginal infections","or","binary",2,1.00042214570655,1.14411128551675,0,2014.5,0,78.5
"CD000547","CD000547_pub3_data","6|7|Other adverse events|Vomiting","Other adverse events",6,7,"Vomiting","or","binary",2,0.725216326202962,1.27757218571641,0,2015,0,77
"CD001155","CD001155_pub3_data","1|1|Clinical vertebral fractures|Clinical vertebral fractures, Primary","Clinical vertebral fractures",1,1,"Clinical vertebral fractures, Primary","or","binary",6,-0.744400383247868,0.305756349837553,0,2003.8,0.0106237816764133,352.666666666667
"CD001155","CD001155_pub3_data","1|1|Clinical vertebral fractures|Clinical vertebral fractures, Secondary","Clinical vertebral fractures",1,1,"Clinical vertebral fractures, Secondary","or","binary",2,-0.80117595435522,0.24799090656344,0,1998,0.0348756218905473,1084.5
"CD001155","CD001155_pub3_data","1|2|Non-vertebral fractures|Non-vertebral fracture, Primary","Non-vertebral fractures",1,2,"Non-vertebral fracture, Primary","or","binary",7,-0.364780412591778,0.197392804492855,0.0632315535871642,2003,0.0445091288620107,1051
