"dataset","source","term"
"CD000143_pub2_data","Subgroup","≤ 1500 g"
"CD000143_pub2_data","Subgroup","1001 to 1500 g"
"CD000143_pub2_data","Subgroup","> 1500 g "
"CD000143_pub2_data","Subgroup","Extubation within 14 days after birth "
"CD000143_pub2_data","Subgroup","Extubation more than 14 days after birth "
"CD000143_pub2_data","Subgroup","Methylxanthines given"
"CD000143_pub2_data","Subgroup","No Methylxanthine given"
"CD000143_pub2_data","Subgroup","No Rescue CPAP used"
"CD000143_pub2_data","Subgroup","Rescue CPAP used"
"CD000219_pub5_data","Analysis.group","1"
"CD000219_pub5_data","Analysis.group","2"
"CD000219_pub5_data","Analysis.name","Pain"
"CD000219_pub5_data","Analysis.name","Vomiting, diarrhoea or rash"
"CD000219_pub5_data","Analysis.name","Abnormal tympanometry"
"CD000219_pub5_data","Analysis.name","Tympanic membrane perforation"
"CD000219_pub5_data","Analysis.name","Contralateral otitis (in unilateral cases)"
"CD000219_pub5_data","Analysis.name","Late AOM recurrences"
"CD000219_pub5_data","Analysis.name","Abnormal tympanometry at 4 weeks"
"CD000219_pub5_data","Analysis.name","AOM recurrences"
"CD000219_pub5_data","Subgroup","Pain at 24 hours"
"CD000219_pub5_data","Subgroup","Pain at 2 to 3 days"
"CD000219_pub5_data","Subgroup","Pain at 4 to 7 days"
"CD000219_pub5_data","Subgroup","Pain at 10 to 12 days"
"CD000219_pub5_data","Subgroup","3 months"
"CD000219_pub5_data","Subgroup","2 to 4 weeks"
"CD000219_pub5_data","Subgroup","6 to 8 weeks"
"CD000219_pub5_data","Subgroup","Pain at 11 to 14 days"
"CD000219_pub5_data","Subgroup","Pain at 3 to 7 days"
"CD000478_pub5_data","Analysis.group","1"
"CD000478_pub5_data","Analysis.group","2"
"CD000478_pub5_data","Analysis.group","3"
"CD000478_pub5_data","Analysis.group","4"
"CD000478_pub5_data","Analysis.group","5"
"CD000478_pub5_data","Analysis.group","6"
"CD000478_pub5_data","Analysis.group","7"
"CD000478_pub5_data","Analysis.group","8"
"CD000478_pub5_data","Analysis.name","Failure to maintain remission"
"CD000478_pub5_data","Analysis.name","Any adverse event"
"CD000478_pub5_data","Analysis.name","Withdrawal due to adverse event"
"CD000478_pub5_data","Analysis.name","Pancreatitis"
"CD000478_pub5_data","Analysis.name","Bone marrow suppression"
"CD000478_pub5_data","Analysis.name","Failure to maintain remission - all trials"
"CD000478_pub5_data","Subgroup","Azathioprine versus placebo"
"CD000478_pub5_data","Subgroup","6-Mercaptopurine versus placebo"
"CD000478_pub5_data","Subgroup","6-MP versus methotrexate"
"CD000478_pub5_data","Subgroup","AZA versus cyclosporin"
"CD000478_pub5_data","Subgroup","Infliximab (IFX) + AZA (full dose) versus IFX monotherapy"
"CD000478_pub5_data","Subgroup","Infliximab (IFX) + AZA (half dose) versus IFX monotherapy"
"CD000478_pub5_data","Subgroup","Infliximab (IFX) + AZA (full dose) versus IFX + AZA (half dose)"
"CD000478_pub5_data","Subgroup","AZA versus L-AZA+ALLO"
"CD000478_pub5_data","Subgroup","AZA versus placebo"
"CD000478_pub5_data","Subgroup","6-MP versus GMA"
"CD000478_pub5_data","Subgroup","AZA vs L-AZA+ALLO"
"CD000478_pub5_data","Subgroup","Azathioprine versus cyclosporin"
"CD000478_pub5_data","Subgroup","6-Mercaptopurine versus 5-ASA"
"CD000478_pub5_data","Subgroup","6-Mercaptopurine versus GMA"
"CD000478_pub5_data","Subgroup","L-AZA/ALLO versus ALLO"
"CD000478_pub5_data","Subgroup","6-Mercaptopurine versus methotrexate"
"CD000478_pub5_data","Subgroup","Infliximab + AZA (full dose) versus infliximab monotherapy"
"CD000478_pub5_data","Subgroup","Infliximab + AZA (half dose) versus infliximab monotherapy"
"CD000478_pub5_data","Subgroup","Infliximab + AZA (full dose) versus infliximab + AZA (half dose)"
"CD000547_pub3_data","Analysis.group","1"
"CD000547_pub3_data","Analysis.group","2"
"CD000547_pub3_data","Analysis.group","3"
"CD000547_pub3_data","Analysis.group","4"
"CD000547_pub3_data","Analysis.group","5"
"CD000547_pub3_data","Analysis.group","6"
"CD000547_pub3_data","Analysis.name","Uterine volume (mL) (preoperative)"
"CD000547_pub3_data","Analysis.name","Fibroid volume (mL) (preoperative)"
"CD000547_pub3_data","Analysis.name","Haemoglobin (preoperative)"
"CD000547_pub3_data","Analysis.name","Total frequency of adverse events"
"CD000547_pub3_data","Analysis.name","Individual adverse events"
"CD000547_pub3_data","Analysis.name","Duration of surgery (minutes)"
"CD000547_pub3_data","Analysis.name","Intraoperative blood loss (mL)"
"CD000547_pub3_data","Analysis.name","Frequency of blood transfusions"
"CD000547_pub3_data","Analysis.name","Postoperative morbidity (complications)"
"CD000547_pub3_data","Analysis.name","Proportion with individual complications"
"CD000547_pub3_data","Analysis.name","Proportion with difficult surgery"
"CD000547_pub3_data","Analysis.name","Proportion undergoing vaginal rather than abdominal procedure"
"CD000547_pub3_data","Analysis.name","Proportion with vertical incision"
"CD000547_pub3_data","Analysis.name","Duration of hospital stay (days)"
"CD000547_pub3_data","Analysis.name","Postoperative haemoglobin"
"CD000547_pub3_data","Analysis.name","Proportion with postoperative recurrence of myomas"
"CD000547_pub3_data","Analysis.name","Difficulty of surgery (visual analogue scale)"
"CD000547_pub3_data","Analysis.name","Fibroid recurrence"
"CD000547_pub3_data","Analysis.name","Fibroid volume"
"CD000547_pub3_data","Analysis.name","Haemoglobin at end of preoperative treatment"
"CD000547_pub3_data","Analysis.name","Reduction in bleeding to PBAC < 75"
"CD000547_pub3_data","Analysis.name","Intraoperative blood loss > 1000 ml"
"CD000547_pub3_data","Analysis.name","Adverse events"
"CD000547_pub3_data","Analysis.name","Haemoglobin (g/dL)"
"CD000547_pub3_data","Analysis.name","Reduction in bleeding (PBAC < 75)"
"CD000547_pub3_data","Analysis.name","Change in menstrual blood loss from baseline to treatment end"
"CD000547_pub3_data","Analysis.name","Serious adverse events"
"CD000547_pub3_data","Analysis.name","Other adverse events"
"CD000547_pub3_data","Subgroup","GnRHa vs no pretreatment"
"CD000547_pub3_data","Subgroup","GnRHa vs placebo"
"CD000547_pub3_data","Subgroup","Insomnia"
"CD000547_pub3_data","Subgroup","Hot flushes"
"CD000547_pub3_data","Subgroup","Headache"
"CD000547_pub3_data","Subgroup","Pain"
"CD000547_pub3_data","Subgroup","Nausea"
"CD000547_pub3_data","Subgroup","Dizziness"
"CD000547_pub3_data","Subgroup","Depression"
"CD000547_pub3_data","Subgroup","Arthralgia"
"CD000547_pub3_data","Subgroup","Asthenia"
"CD000547_pub3_data","Subgroup","Vaginitis"
"CD000547_pub3_data","Subgroup","Abdominal/pelvic pain"
"CD000547_pub3_data","Subgroup","Skin changes"
"CD000547_pub3_data","Subgroup","Hirsutism"
"CD000547_pub3_data","Subgroup","Change in libido"
"CD000547_pub3_data","Subgroup","Change in breast size"
"CD000547_pub3_data","Subgroup","Sweating"
"CD000547_pub3_data","Subgroup","Breast pain/tenderness"
"CD000547_pub3_data","Subgroup","Uterine haemorrhage"
"CD000547_pub3_data","Subgroup","GnRHa vs no treatment"
"CD000547_pub3_data","Subgroup","Hypermenorrhoea"
"CD000547_pub3_data","Subgroup","Dysmenorrhoea"
"CD000547_pub3_data","Subgroup","Pelvic pain"
"CD000547_pub3_data","Subgroup","Difficult defecation"
"CD000547_pub3_data","Subgroup","Difficult urination"
"CD000547_pub3_data","Subgroup","Dyspareunia"
"CD000547_pub3_data","Subgroup","GnRH vs no pretreatment"
"CD000547_pub3_data","Subgroup","GnRH vs placebo"
"CD000547_pub3_data","Subgroup","GnRHa vs ulipristal acetate"
"CD000547_pub3_data","Subgroup","GnRHa vs cabergoline"
"CD000547_pub3_data","Subgroup","Ulipristal acetate 5 mg"
"CD000547_pub3_data","Subgroup","Ulipristal acetate 10 mg"
"CD000547_pub3_data","Subgroup","Weight gain"
"CD000547_pub3_data","Subgroup","Oedema"
"CD000547_pub3_data","Subgroup","Sleep disorder"
"CD000547_pub3_data","Subgroup","Mood disorder or anxiety"
"CD000547_pub3_data","Subgroup","Vaginal dryness"
"CD000547_pub3_data","Subgroup","Cutaneous disorder"
"CD000547_pub3_data","Subgroup","Abdominal or pelvic pain"
"CD000547_pub3_data","Subgroup","Procedural pain"
"CD000547_pub3_data","Subgroup","Fatigue"
"CD000547_pub3_data","Subgroup","Anaemia"
"CD000547_pub3_data","Subgroup","Nasopharyngitis"
"CD000547_pub3_data","Subgroup","Breast pain or tenderness"
"CD000547_pub3_data","Subgroup","Influenza"
"CD000547_pub3_data","Subgroup","Pharyngitis"
"CD000547_pub3_data","Subgroup","Bone sensitivity"
"CD000547_pub3_data","Subgroup","Muscular stiffness"
"CD000547_pub3_data","Subgroup","Comparator was mifepristone"
"CD000547_pub3_data","Subgroup","Comparator was UPA"
"CD000547_pub3_data","Subgroup","Breast cancer"
"CD000547_pub3_data","Subgroup","Ovarian haemorrhage"
"CD000547_pub3_data","Subgroup","Fibroid protruding through cervix"
"CD000547_pub3_data","Subgroup","Menometrorrhagia"
"CD000547_pub3_data","Subgroup","Hyperplasia"
"CD000547_pub3_data","Subgroup","Abdominal pain"
"CD000547_pub3_data","Subgroup","Pyrexia"
"CD000547_pub3_data","Subgroup","Hypercholesterolaemia"
"CD000547_pub3_data","Subgroup","Hypothyroidism"
"CD000547_pub3_data","Subgroup","Constipation"
"CD000547_pub3_data","Subgroup","Hypertriglyceridaemia"
"CD000547_pub3_data","Subgroup","Bladder pressure"
"CD000547_pub3_data","Subgroup","Micturition problem"
"CD000547_pub3_data","Subgroup","Lower back pain"
"CD000547_pub3_data","Subgroup","Proctodynia"
"CD000547_pub3_data","Subgroup","Coital pain"
"CD000547_pub3_data","Subgroup","Vomiting"
"CD000547_pub3_data","Subgroup","Diarrhoea"
"CD000547_pub3_data","Subgroup","Change of mood"
"CD000547_pub3_data","Subgroup","Lowered libido"
"CD000547_pub3_data","Subgroup","Weakness"
"CD000547_pub3_data","Subgroup","Dental pain"
"CD000547_pub3_data","Subgroup","Vaginal infections"
"CD000547_pub3_data","Subgroup","Vaginal discharge"
"CD001072_pub2_data","Analysis.group","1"
"CD001072_pub2_data","Analysis.name","Failure of treatment"
"CD001072_pub2_data","Analysis.name","Death in the first year"
"CD001072_pub2_data","Analysis.name","Tachycardia"
"CD001155_pub3_data","Analysis.group","1"
"CD001155_pub3_data","Analysis.group","2"
"CD001155_pub3_data","Analysis.group","3"
"CD001155_pub3_data","Analysis.group","4"
"CD001155_pub3_data","Analysis.group","5"
"CD001155_pub3_data","Analysis.group","6"
"CD001155_pub3_data","Analysis.group","7"
"CD001155_pub3_data","Analysis.group","8"
"CD001155_pub3_data","Analysis.group","9"
"CD001155_pub3_data","Analysis.group","10"
"CD001155_pub3_data","Analysis.group","11"
"CD001155_pub3_data","Analysis.group","12"
"CD001155_pub3_data","Analysis.group","13"
"CD001155_pub3_data","Analysis.group","14"
"CD001155_pub3_data","Analysis.group","15"
"CD001155_pub3_data","Analysis.group","16"
"CD001155_pub3_data","Analysis.group","17"
"CD001155_pub3_data","Analysis.group","18"
"CD001155_pub3_data","Analysis.group","19"
"CD001155_pub3_data","Analysis.group","20"
"CD001155_pub3_data","Analysis.group","21"
"CD001155_pub3_data","Analysis.group","22"
"CD001155_pub3_data","Analysis.group","23"
"CD001155_pub3_data","Analysis.group","24"
"CD001155_pub3_data","Analysis.group","25"
"CD001155_pub3_data","Analysis.group","26"
"CD001155_pub3_data","Analysis.group","27"
"CD001155_pub3_data","Analysis.group","28"
"CD001155_pub3_data","Analysis.group","29"
"CD001155_pub3_data","Analysis.group","30"
"CD001155_pub3_data","Analysis.group","31"
"CD001155_pub3_data","Analysis.group","32"
"CD001155_pub3_data","Analysis.group","33"
"CD001155_pub3_data","Analysis.group","34"
"CD001155_pub3_data","Analysis.group","35"
"CD001155_pub3_data","Analysis.group","36"
"CD001155_pub3_data","Analysis.group","37"
"CD001155_pub3_data","Analysis.name","Clinical vertebral fractures"
"CD001155_pub3_data","Analysis.name","Non-vertebral fractures"
"CD001155_pub3_data","Analysis.name","Hip fractures"
"CD001155_pub3_data","Analysis.name","Wrist fractures"
"CD001155_pub3_data","Analysis.name","Radiographic vertebral fractures"
"CD001155_pub3_data","Analysis.name","Withdrawals due to adverse events"
"CD001155_pub3_data","Analysis.name","Serious adverse events"
"CD001155_pub3_data","Analysis.name","Gastrointestinal adverse events"
"CD001155_pub3_data","Analysis.name","Atypical femoral fracture"
"CD001155_pub3_data","Analysis.name","Osteonecrosis of the Jaw"
"CD001155_pub3_data","Analysis.name","Osteonecrosis of the jaw"
"CD001155_pub3_data","Analysis.name","Alendronate vs Other active agent, Primary"
"CD001155_pub3_data","Analysis.name","Alendronate vs Other active agent, Secondary"
"CD001155_pub3_data","Analysis.name","Alendronate 70 mg/week vs Zolendronic acid 5 mg/year, Secondary"
"CD001155_pub3_data","Analysis.name","Alendronate 5 mg/day vs Alendronate 35 mg/week, Primary"
"CD001155_pub3_data","Analysis.name","Alendronate 10 mg/day vs Alendronate 70 mg/week, Secondary"
"CD001155_pub3_data","Subgroup","Clinical vertebral fractures, Primary"
"CD001155_pub3_data","Subgroup","Clinical vertebral fractures, Secondary"
"CD001155_pub3_data","Subgroup","Non-vertebral fracture, Primary"
"CD001155_pub3_data","Subgroup","Non-vertebral fracture, Secondary"
"CD001155_pub3_data","Subgroup","Hip fractures, Primary"
"CD001155_pub3_data","Subgroup","Hip fractures, Secondary"
"CD001155_pub3_data","Subgroup","Wrist fractures, Primary"
"CD001155_pub3_data","Subgroup","Wrist fractures, Secondary"
"CD001155_pub3_data","Subgroup","Radiographic vertebral fractures, Primary"
"CD001155_pub3_data","Subgroup","Radiographic vertebral fractures, Secondary"
"CD001155_pub3_data","Subgroup","Withdrawals due to adverse events, Primary"
"CD001155_pub3_data","Subgroup","Withdrawals due to adverse events, Secondary"
"CD001155_pub3_data","Subgroup","Serious adverse events, Primary"
"CD001155_pub3_data","Subgroup","Serious adverse events, Secondary"
"CD001155_pub3_data","Subgroup","Gastrointestinal adverse events, Primary"
"CD001155_pub3_data","Subgroup","Gastrointestinal adverse events, Secondary"
"CD001155_pub3_data","Subgroup","Atypical femoral fracture, Secondary"
"CD001155_pub3_data","Subgroup","Atypical femoral fracture, Primary"
"CD001155_pub3_data","Subgroup","Osteonecrosis of the jaw, Primary"
"CD001155_pub3_data","Subgroup","Non-vertebral fractures, Primary"
"CD001155_pub3_data","Subgroup","Non-vertebral fractures, Secondary"
"CD001155_pub3_data","Subgroup","Clinica vertebral fracture, Primary"
"CD001155_pub3_data","Subgroup","Hip fracture, Primary"
"CD001155_pub3_data","Subgroup","Radiographic vertebral fracture, Primary"
"CD001155_pub3_data","Subgroup","Clinical vertebral Fractures, Primary"
"CD001155_pub3_data","Subgroup","Non-vertebral Fractures, Primary"
"CD001155_pub3_data","Subgroup","Non-vertebral Fractures, Secondary"
"CD001155_pub3_data","Subgroup","Hip Fractures, Secondary"
"CD001155_pub3_data","Subgroup","Withdrawal due to adverse events, Secondary"
"CD001155_pub3_data","Subgroup","Withdrawal due to adverse events, Primary"
"CD001155_pub3_data","Subgroup","Osteonecrosis of the jaw, Secondary"
"CD001155_pub3_data","Subgroup","Hip Fractures, Primary"
"CD001155_pub3_data","Subgroup","Vertebral Fractures- clinical, Primary"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs HRT"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Zolendronic acid 5 mg/year, IV"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs HRT"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Denosumab 60 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","(Alendronate 70 mg/week + Teriparatide 20 μg/day, SC) vs Teriparatide 20 μg/day, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Romosozumab 210 mg/month, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs (Alendronate 10 mg/day + HRT)"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs HRT"
"CD001155_pub3_data","Subgroup","(Alendronate 70 mg+ Vitamin D3 5600 IU)/week vs Calcitriol 0.25 μg/day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs Placebo"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs (Alendronate 5 mg/day + HRT)"
"CD001155_pub3_data","Subgroup","(Alendronate 5 mg/day + HRT) vs HRT"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab 60 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Risedronate 35 mg/week"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Isosorbide mononitrate 20 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Ibandronate  150 mg/month"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Teriparatide 20 μg/day, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs (Alendronate 70 mg/week + Vitamin K1 10 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs cyclic Etidronate 400 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs intermittent cyclic Clodronate"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Strontium ranelate 2 g/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/weekly vs Ibandronate 2 mg/3 months"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + Raloxifene 60 mg/day) vs HRT"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + Raloxifene 60 mg/day) vs Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + Raloxefene 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs cyclic Etidronate 400 mg /day"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs cyclic Etidronate 200 mg /day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs (Alendronate 10 mg/day + Raloxefene 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Ibandronate 150 mg/month"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Zolendronic acid 5 mg/year, IV"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs (Alendronate 5 mg/day + Alfacalcidol 1  μg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + HRT)"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Isosorbide mononitrate 20 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  HRT"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Romosozumab 210 mg/month, SC"
"CD001155_pub3_data","Subgroup","Alendronate 35 mg/week vs Denosumab 60 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs Teriparatide 40  μg/day, SC "
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs [Alendronate 70 mg/week +  PTH(1-34) 25 μg/day, SC]"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs [Alendronate 70 mg/week +  cyclic PTH(1-34) 25 μg/day, SC]"
"CD001155_pub3_data","Subgroup","[Alendronate 70 mg/week +  PTH(1-34) 25 μg/day, SC] vs [Alendronate 70 mg/week + cyclic PTH(1-34) 25 μg/day, SC]"
"CD001155_pub3_data","Subgroup","(Alendronate 70 mg + Vitamin D3 5600 IU)/week vs Calcitriol 0.25 μg/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Ibandronate 2 mg/3 months, IV"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab 6 mg/3 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab 14 mg/3 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab  30 mg/3 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab  14 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab  100 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab  60 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Denosumab  210 mg/6 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  MK-677 25 mg/day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day +MK-677 25 mg/day) vs Placebo"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs Minodronate 1 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs  intermittent cyclic Clodronate"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + MK-677 25 mg/day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day +MK-677 25 mg/day) vs MK-677 25 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/weekly vs Ibandronate 2 mg/3 months, IV"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + HRT) vs (Alendronate 10 mg/day + Raloxifene 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + Raloxifene 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Strontium Ranelate 2 g/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs Calcitonin 100 IU/day, IN"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs Alfacalcidol 1 µg/day"
"CD001155_pub3_data","Subgroup","Alendronate 35 mg/week vs Denosumab 60 mg/6 months"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  Risedronate 5 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + Raloxifen 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  [Alendronate 70 mg/week + Cyclic PTH(1-34)  25 μg/day , SC]"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs  [Alendronate 70 mg/week + PTH(1-34)  25 μg/day, SC]"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs  Intermittent cyclic Clodronate "
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs  Alfacalcidol 1 μg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs  (Alendronate 10 mg/day + MK-677 25 mg/day)"
"CD001155_pub3_data","Subgroup","[Alendronate 70 mg/week + PTH(1-34)  25 μg/day , SC] vs  [Alendronate 70 mg/week + Cyclic PTH(1-34)  25 μg/day , SC]"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs Minodronate 1 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 5 mg/day vs cyclic Etidronate 200 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Ibandronate 150 mg/month"
"CD001155_pub3_data","Subgroup","(Alendronate 70 mg/2 weeks + Alfacalcidol 0.5 μg/day) vs Alfacalcidol 0.5 μg/day"
"CD001155_pub3_data","Subgroup","(Alendronate 10 mg/day + Raloxifene 60 mg/day) vs Placebo"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/weekly vs Risedronate 35 mg/week"
"CD001155_pub3_data","Subgroup","Alendronate 70mg/week vs Teriparatide 20 µg/day, SC"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs Raloxifene 60 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs (Alendronate 10 mg/day + Raloxifene 60 mg/day)"
"CD001155_pub3_data","Subgroup","Alendronate 35 mg/week vs Minodronate 50 mg/month"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Romosozumab 140 mg/3 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Romosozumab 210 mg/3 months, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Romosozumab 70 mg/month, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Romosozumab 140 mg/month, SC"
"CD001155_pub3_data","Subgroup","Alendronate 70mg/week vs Romosozumab 210 mg/month, SC"
"CD001155_pub3_data","Subgroup","(Alendronate 70 mg/week + Vitamin D3 2800 IU/day) vs Vitamin D3 2800 IU/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs Strontium Ranelate 2 g/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs ONO-5334 300 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs Calcitonin 200 IU/day, IN"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs cyclic Etidronate 400 mg/day"
"CD001155_pub3_data","Subgroup","Alendronate 70 mg/week vs (Alendronate 70 mg/week + cyclic PTH(1-34) 25 μg/day, SC)"
"CD001155_pub3_data","Subgroup","Alendronate 10 mg/day vs Calcitriol 0.5 μg/day"
